Most common types of responses,Total,Men,Women
Cost and time barriers,27%,24%,31%
Found another interest; went a different path,20,23,17
"Had difficulty with STEM classes, lost interest in STEM",14,11,19
Personal/family circumstances,11,10,12
"Perceived issues with STEM careers e.g., lack of jobs, low pay",7,7,7
"Perceived obstacles because of gender e.g., women aren't encouraged; no female mentors",1,,1
"Did pursue a STEM job, changed jobs",9,10,7
Currently pursuing/might pursue a STEM career in the future,4,4,3
Other,4,5,2
Don't know/No answer,13,16,8
