Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,,,,,,,,
Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,Extremely/very■Somewhat■Not too/not at allU.S.52% 26% 21%adults,26%,26%,26%,21%,,,,
Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,,,,,,,,
Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Among those in STEM jobsMen 49 28 22,Men,Men,49,49,28,28,28,22
Women,Women,,,,,,,Men,Men,,,,,,
Women,Women,Women,61,61,61,61,28,11,,,,,,,
Among those in non-STEM jobs,Among those in non-STEM jobs,Among those in non-STEM jobs,Among those in non-STEM jobs,Among those in non-STEM jobs,Among those in non-STEM jobs,Among those in non-STEM jobs,Among those in non-STEM jobs,,,,,,,,
MenWomen,MenWomen,43,32,32,32,32,23,,,,,,,,
MenWomen,MenWomen,,,,,,,,,,,,,,
MenWomen,MenWomen,56,56,56,27,27,16,,,,,,,,
