Validation Overall,Test Overall,History,Literature,Sociology,Psychology
Random Choice,20.0,22.8,22.3,24.1,"27.0,19.3"
Frequent Choice,25.8,25.2,27.0,27.7,"25.4,22.6"
Large Multimodal Models (LMMs): Text + Image as Input,OpenFlamingo2-9B [4],30.8,27.9,24.5,"42.0,29.0,24.9"
Kosmos2 [47],30.0,26.3,24.5,24.1,"34.1,22.3"
Fuyu-8B [6],32.5,32.5,32.7,44.6,"32.9,27.5"
MiniGPT4-Vicuna-13B [71],29.2,30.9,30.9,47.3,"30.6,25.2"
LLaMA-Adapter2-7B [65],33.3,29.1,27.0,43.8,"32.1,23.3"
Otter [26],41.7,35.9,33.8,67.0,"34.9,27.2"
CogVLM [55],45.0,41.5,39.2,69.6,"41.3,33.4"
InstructBLIP-T5-XL [14],47.5,45.8,45.0,71.4,"44.8,38.0"
BLIP-2 FLAN-T5-XL [27],50.0,48.0,48.2,76.8,"47.2,38.0"
mPLUG-OWL2* [60],45.8,46.7,46.0,74.1,"44.4,39.0"
SPHINX* [73],50.0,-,-,-,"-,-"
Qwen-VL-7B [5],45.0,45.3,47.8,64.3,"46.4,35.1"
LLaVA-1.5-13B [34],53.3,54.7,58.6,76.8,"51.2,45.9"
InstructBLIP-T5-XXL [14],49.2,49.8,48.6,72.3,"51.2,41.6"
BLIP-2 FLAN-T5-XXL [27],50.8,51.5,49.6,75.9,"53.2,43.0"
Qwen-VL-PLUS* [74],65.8,65.5,69.8,79.5,"63.9,57.7"
GPT-4V(ision) (Playground) [46],72.5,76.3,79.1,89.3,"71.4,73.1"
Gemini Ultra* [72],78.3,-,-,-,"-,-"
Large Language Models (LLMs): Only Text as Input,Llama2 7B [53],37.5,32.6,32.4,"46.4,32.9,27.5"
FLAN-T5-XXL [12],42.5,44.8,46.8,56.2,"39.7,43.0"
 + OCR,55.0,50.5,53.6,75.0,"46.4,42.0"
 + LLaVA Caption,49.2,49.9,51.8,75.0,"46.8,41.6"
Vicuna-13B [10],45.8,44.8,51.1,59.8,"39.3,38.0"
 + OCR,50.0,49.3,58.3,66.1,"48.0,36.1"
 + LLaVA Caption,48.3,49.4,53.6,72.3,"48.8,37.7"
GPT-4 Text [45],51.7,53.0,52.9,82.1,"34.5,57.7"
