Subject,Correct Case,,PerceptionLack of KnowledgeReasoning,,Other
Art,"8,9",10,,,
Art Theory,"11, 12",,13,,
Design,14,15,16,,
Music,17,"18,19",18,,
Accounting,20,21,,,
Economics,22,"23,24",,,
Finance,25,,,26,
Manage,27,28,,,
Marketing,29,30,,,
Biology,"31,32",,,"33,34",
Chemistry,"36,37",38,39,38,
Geography,40,42,,"41,42",
Math,43,44,,46,45
Physics,47,48,,,
Basic Medical Science,49,50,,,
Clinical Medicine,"51, 52, 53",54,55,,
Diagnostics and Laboratory Medicine,56,"57,59",59,,58
Pharmacy,60,,"61, 62",,
Public Health,63,,65,,64
History,"66, 67",68,69,,
Literature,70,71,,,
Sociology,72,,,73,
Psychology,74,75,,,
Agriculture,76,"77, 78,79",,,
Architecture and Engineering,80,,,81,
Computer Science,83,"84, 85,86",84,,
Electronics,87,,,,88
Energy and Power,89,,,90,
Materials,91,,92,,
Mechanical Engineering,93,,,"94,95",
