Statistics,Number
Total Questions,11550
Total Disciplines/Subjects/Subfields,6/30/183
Image Types,30
Dev:Validation:Test,150:900:10500
Difficulties (Easy: Medium: Hard),28%:45%:27%
Multiple-choice Questions,10861 (94.03%)
Open Questions,689 (5.97%)
Questions with an Explanation,2035 (17.62%)
Image in the Question,11264 (97.52%)
* Images at the beginning,2006 (17.81%)
* Images in the middle,4159 (36.92%)
* Images at the end,5679 (50.42%)
Image in Options,389 (3.37%)
Example with Multiple Images,854 (7.39%)
Average question length,59.33
Average option length,9.17
Average explanation length,107.92
