Image Types,#Samples,Fuyu -8B,Qwen-VL -7B,InstructBLIP -T5-XXL,LLaVA-1.5 -13B,BLIP-2 FLAN -T5-XXL,GPT-4V
Test Overall,10500,27.4,32.9,33.8,33.6,34.0,557
Diagrams,3184,27.6,30.1,31.8,30.0,32.0,46.8
Tables,2267,26.6,29.0,29.8,27.8,27.8,61.8
Plots and Charts,840,24.8,31.8,36.2,30.4,35.8,55.6
Chemical Structures,573,25.0,27.2,27.1,26.7,25.5,50.6
Photographs,770,27.6,40.5,41.4,44.4,42.0,64.2
Paintings,453,28.7,57.2,53.6,56.3,52.1,75.9
Geometric Shapes,336,21.1,25.3,21.4,25.6,28.3,40.2
Sheet Music,335,35.2,33.4,34.6,35.8,34.9,38.8
Medical Images,272,25.4,29.8,31.6,36.4,29.8,59.6
Pathological Images,253,26.5,27.7,31.2,35.2,35.6,63.6
Microscopic Images,226,27.0,37.6,29.2,36.3,32.7,58.0
"MRI, CT scans,and X-rays",198,21.7,36.9,33.3,39.4,29.8,50.0
Sketches and Drafts,184,37.0,32.1,29.9,38.0,33.7,55.4
Maps Technical Blueprints,170,38.2,36.5,45.9,47.6 25.3,43.5,61.8
Trees and Graphs,162,24.7 30.1,25.9 28.1,28.4 28.8,28.8,27.8,38.9
Mathematical Notations,146 133,15.8,27.1,22.6,21.8,34.9 21.1,50.0
Comics and Cartoons,131,29.0,51.9,49.6,54.2,51.1,45.9
Sculpture,117,30.8,46.2,49.6,51.3,53.0,68.7
Portraits,91,20.9,52.7,46.2,54.9,47.3,76.1
Screenshots,70,38.6,35.7,38.6,34.3,47.1,70.3
Other,60,28.3,38.3,50.0,51.7,58.3,65.7
Poster,57,38.6,50.9,52.6,61.4,64.9,68.3
Icons and Symbols,42,23.8,66.7,57.1,59.5,59.5,80.7
Historical Timelines,30,30.0,36.7,40.0,43.3,,78.6
3D Renderings,21,33.3,28.6,57.1,38.1,43.3,63.3
DNA Sequences,20,20.0,45.0,25.0,25.0,47.6 45.0,47.6 55.0
Landscapes,16,43.8,43.8,50.0,31.2,62.5,68.8
Logos and Branding,14,21.4,57.1,64.3,35.7,50.0,85.7
Advertisements,10,30.0,60.0,50.0,60.0,70.0,100.0
