Validation Overall,Test Overall,Accounting,Economics,Finance,Manage,Marketing
Random Choice,24.7,24.9,30.0,29.6,17.7,"22.4,24.9"
Frequent Choice,29.3,28.4,33.4,36.3,22.0,"15.9,35.9"
Large Multimodal Models (LMMs): Text + Image as Input,28.0,23.5,24.7,25.8,19.4,"25.3,22.7"
OpenFlamingo2-9B [4],18.0,23.7,29.7,24.0,21.4,"22.4,17.1"
Fuyu-8B [6],32.0,27.0,32.1,30.3,22.5,"20.0,29.3"
MiniGPT4-Vicuna-13B [71],21.3,27.0,29.7,34.1,25.6,"16.7,27.6"
LLaMA-Adapter2-7B [65],25.3,25.4,30.8,24.7,20.6,"24.9,25.4"
Otter [26],24.0,24.0,30.8,29.6,17.5,"16.3,24.9"
CogVLM [55],25.3,25.6,28.2,29.6,19.2,"21.2,32.6"
InstructBLIP-T5-XL [14],28.0,25.2,27.6,31.8,18.0,"22.0,28.7"
BLIP-2 FLAN-T5-XL [27],26.7,25.6,28.2,31.1,17.5,"24.1,29.8"
mPLUG-OWL2* [60],24.7,25.6,28.7,29.2,20.3,"22.4,28.7"
SPHINX* [73],24.7,-,-,-,-,"-,-"
Qwen-VL-7B [5],29.3,29.8,34.2,29.6,18.9,"32.2,38.7"
LLaVA-1.5-13B [34],22.7,28.2,29.2,33.3,23.7,"23.3,34.3"
InstructBLIP-T5-XXL [14],24.0,30.6,34.2,35.6,23.4,"30.2,30.4"
BLIP-2 FLAN-T5-XXL [27],30.0,28.6,32.4,33.3,22.5,"26.1,28.7"
Qwen-VL-PLUS* [74],35.3,34.5,35.0,41.6,26.2,"34.7,39.2"
Gemini Ultra* [72],56.7,-,-,-,-,"-,-"
GPT-4V(ision) (Playground) [46],59.3,64.3,69.7,70.8,61.1,"51.0,67.4"
Large Language Models (LLMs): Only Text as Input,22.7,27.2,28.9,34.1,23.7,"21.6,27.6"
Llama2 7B [53],28.0,28.9,31.6,31.5,23.1,"29.0,30.4"
FLAN-T5-XXL [12],29.3,28.8,32.4,30.0,24.8,"26.9,29.8"
+ OCR,26.0,26.8,27.1,32.6,22.3,"25.3,28.7"
+ LLaVA Caption,31.3,27.8,28.2,30.7,24.2,"27.8,29.8"
Vicuna-13B [10],31.3,28.6,27.1,34.1,23.9,"30.6,30.4"
+ OCR,26.0,26.8,27.1,32.6,22.3,"25.3,28.7"
+ LLaVA Caption,31.3,27.8,28.2,30.7,24.2,"27.8,29.8"
GPT-4 Text [45],36.7,28.5,29.7,35.2,21.1,"32.2,25.4"
