Model,Validation_Overall_(150),"Test_Overall_(2,426)",Biology_(345),Chemistry_(603),Geography_(565),Math_(505),Physics_(408)
tsv,,,,,,,
Random_Choice,18.0,21.6,18.3,18.6,26.0,22.2,22.1
Frequent_Choice,27.3,24.0,25.8,19.9,26.9,26.1,22.1
Large_Multimodal_Models_(LMMs)_Text+_Image_as_Input,OpenFlamingo2-9B_[4],23.3,26.3,27.8,22.9,30.8,25.1
Kosmos2_[47],19.3,26.6,28.4,21.7,29.2,26.7,28.4
Fuyu-8B_[6],22.0,25.6,27.8,20.9,30.1,24.8,25.7
MiniGPT4-Vicuna-13B_[71],28.7,26.2,23.2,22.1,29.4,30.1,25.5
LLaMA-Adapter2-7B_[65],30.7,25.6,27.5,24.9,30.4,23.0,21.3
Otter_[26],34.7,24.1,24.6,23.4,27.1,23.0,21.8
CogVLM_[55],28.0,25.1,29.3,24.2,28.0,23.4,21.1
InstructBLIP-T5-XL_[14],32.7,25.2,27.0,22.1,28.3,24.4,25.0
BLIP-2_FLAN-T5-XL_[27],30.7,25.1,26.7,24.4,25.7,24.0,25.2
mPLUG-OWL2*_[60],22.7,24.9,27.2,23.9,29.7,18.8,25.2
SPHINX*_[73],26.7,-,-,-,-,-,-
Qwen-VL-7B_[5],29.3,25.6,27.8,23.1,28.8,24.6,24.3
LLaVA-1.5-13B_[34],29.3,25.9,27.2,25.0,28.8,24.0,24.5
InstructBLIP-T5-XXL_[14],30.7,27.6,29.0,26.5,31.0,25.5,26.0
BLIP-2_FLAN-T5-XXL_[27],34.7,27.3,28.4,25.5,29.4,27.5,26.0
Qwen-VL-PLUS*_[74],37.3,32.8,40.3,27.9,34.7,31.3,33.1
Gemini_Ultra*_[72],48.0,-,-,-,1,-,-
GPT-4V(ision)_(_Playground)_[46],54.7,48.4,52.2,46.9,44.8,45.0,56.4
Llama2_7B_[53],34.0,,,21.4,29.7,28.5,26.7
FLAN-T5-XXL_[12],28.0,,,28.4,24.4,27.3,30.7
+_OCR,30.0,"26.2, 26.5","27.8, 26.4","24.5, 24.7","27.4, 29.0","27.9, 27.1","26.0, 25.2"
+_LLaVA_Caption,32.7,"27.0, 26.2","25.8, 31.3","23.9, 21.7","30.3, 28.7","29.1, 26.7","25.5, 24.3"
Vicuna-13B_[10],23.3,,,,,,
+_OCR,30.0,,,,,,
+_LLaVA_Caption,28.7,,,,,,
GPT-4_Text_[45],34.7,,,,,,
