Validation Overall (900) Test Overall (10,500) Art & Design (1,163) Business (1,428) Science (2,426) Health & Medicine (1,752) Human. & Social Sci. (947) Tech & Eng. (2,784)
Random Choice 22.1 23.9 24.1 24.9 21.6 25.3 22.8 24.8,,,,,,
Frequent Choice 26.8 25.8 26.7 28.4 24.0 24.4 25.2 26.5,,,,,,
Large Multimodal Models (LMMs): Text + Image as Input,,,,,,
OpenFlamingo2-9B [4] 28.7 26.3 31.7 23.5 26.3 26.3 27.9 25.1,,,,,,
Kosmos2 [47] 24.4 26.6 28.8 23.7 26.6 27.2 26.3 26.8,,,,,,
Fuyu-8B [6] 27.9 27.4 29.9 27.0 25.6 27.0 32.5 26.4,,,,,,
MiniGPT4-Vicuna-13B [71] 26.8 27.6 30.2 27.0 26.2 26.9 30.9 27.2,,,,,,
LLaMA-Adapter2-7B [65] 29.8 27.7 35.2 25.4 25.6 30.0 29.1 25.7,,,,,,
Otter [26] 32.2 29.1 37.4 24.0 24.1 29.6 35.9 30.2,,,,,,
CogVLM [55] 32.1 30.1 38.0 25.6 25.1 31.2 41.5 28.9,,,,,,
InstructBLIP-T5-XL [14] 32.9 30.6 43.3 25.2 25.2 29.3 45.8 28.6,,,,,,
BLIP-2 FLAN-T5-XL [27] 34.4 31.0 43.0 25.6 25.1 31.8 48.0 27.8,,,,,,
mPLUGw-OWL2* [60] 32.7 32.1 48.5 25.6 24.9 32.8 46.7 29.6,,,,,,
SPHINX* [73] 32.9 - - - - - - -,,,,,,
Qwen-VL-7B [5] 35.9 32.9 47.7 29.8 25.6 33.6 45.3 30.2,,,,,,
LLaVA-1.5-13B [34] 36.4 33.6 49.8 28.2 25.9 34.9 54.7 28.3,,,,,,
InstructBLIP-T5-XXL [14] 35.7 33.8 48.5 30.6 27.6 33.6 49.8 29.4,,,,,,
BLIP-2 FLAN-T5-XXL [27] 35.4 34.0 49.2 28.6 27.3 33.7 51.5 30.4,,,,,,
Gemini Nano2* [72] 32.6 - - - - - - -,,,,,,
Qwen-VL-PLUS* [74] 45.2 40.8 59.9 34.5 32.8 43.7 65.5 32.9,,,,,,
Gemini Pro* [72] 47.9 - - - - - - -,,,,,,
GPT-4V(ision) (Playground) [46] 56.8 55.7 65.3 64.3 48.4 63.5 76.3 41.7,,,,,,
Gemini Ultra* [72] 59.4 - - - - - - -,,,,,,
Large Language Models (LLMs): Only Text as Input,,,,,,
Llama2 7B [53] 30.1 28.7 30.7 27.2 26.7 27.7 32.6 29.8,,,,,,
FLAN-T5-XXL [12] 32.1 31.2 36.8 28.9 26.7 32.8 44.8 28.3,,,,,,
+ OCR 34.7 31.9 36.2 28.8 26.2 32.6 50.5 29.7,,,,,,
+ LLaVA Caption 34.8 31.9 38.4 27.8 27.0 33.2 49.9 28.7,,,,,,
Vicuna-13B [10] 33.3 31.0 35.1 30.1 24.7 31.4 44.8 30.1,,,,,,
+ OCR 35.4 31.9 37.1 28.6 26.5 32.0 49.3 30.0,,,,,,
+ LLaVA Caption 33.9 32.7 42.0 26.8 26.2 33.4 49.4 31.4,,,,,,
GPT-4 Text [45] 34.9 33.8 32.9 28.5 30.6 41.3 53.0 28.4,,,,,,
