Validation Overall (150),"Test Overall (1,752)",Basic Medical Science (326),Clinical Medicine (325),Diagnostics & Lab. Medicine (162),Pharmacy (430),Public Health (509)
Random Choice,20.7,25.3,24.8,21.8,25.9,"28.6,24.8"
Frequent Choice,30.0,24.4,22.1,24.3,17.3,"23.3,29.3"
Large Multimodal Models (LMMs): Text + Image as Input,,OpenFlamingo2-9B [4],27.3,26.3,29.1,21.8
,Kosmos2 [47],28.0,27.2,27.3,24.0,"27.2,30.7,26.1"
,Fuyu-8B [6],28.0,27.0,28.8,23.1,"24.1,27.0,29.3"
,MiniGPT4-Vicuna-13B [71],30.7,26.9,27.0,26.2,"21.6,27.7,28.5"
,LLaMA-Adapter2-7B [65],30.7,30.0,31.0,30.2,"26.5,36.5,25.0"
,Otter [26],30.7,29.6,34.4,28.3,"28.4,28.6,28.5"
,CogVLM [55],32.0,31.2,33.4,27.4,"27.2,33.7,31.4"
,InstructBLIP-T5-XL [14],28.7,29.3,31.3,28.9,"22.8,34.2,26.1"
,BLIP-2 FLAN-T5-XL [27],35.3,31.8,35.9,31.7,"24.1,35.8,28.5"
,mPLUG-OWL2* [60],32.0,32.8,29.9,32.3,"34.0,31.2,29.7"
,SPHINX* [73],30.7,,,,"-,-,-"
,Qwen-VL-7B [5],33.3,33.6,38.0,34.8,"32.1,29.5,33.8"
,LLaVA-1.5-13B [34],38.7,34.9,42.6,36.6,"34.6,32.1,31.4"
,InstructBLIP-T5-XXL [14],35.3,33.6,35.6,32.3,"29.6,34.2,33.8"
,BLIP-2 FLAN-T5-XXL [27],32.0,33.7,38.7,34.5,"27.2,33.7,32.2"
,Qwen-VL-PLUS* [74],46.7,43.7,49.7,42.2,"34.0,46.5,41.5"
,GPT-4V (ision) (Playground) [46] Gemini Ultra* [72],64.7,63.5,65.0,62.5,"43.8,68.1,65.4"
,,67.3,,,-,"-,-,-"
Large Language Models (LLMs): Only Text as Input,,Llama2 7B [53],26.7,27.7,26.1,30.8
,,FLAN-T5-XXL [12],32.0,32.8,33.7,34.8
,+ OCR,32.7,32.6,33.7,35.1,"27.8,32.3,32.2"
,+ LLaVA Caption,32.0,33.2,35.3,34.2,"30.9,32.6,32.4"
,,Vicuna-13B [10],31.3,31.4,37.7,33.2
,+ OCR,31.3,32.0,38.3,33.5,"37.0,28.4,28.5"
,+ LLaVA Caption,34.0,33.4,37.1,35.4,"32.7,32.6,30.6"
,,GPT-4 Text [45],40.7,41.3,52.5,52.9
