Model,s→t,s→t,s→t,s→t,s→t,s→t
Model,en→fr,en→de,fr→en,fr→de,de→en,de→fr
singletask,20.92,12.69,20.96,11.24,16.10,15.29
"multitask $s \to x , t$",20.54,12.79,20.01,11.18,16.31,15.07
cascade $s \to x \to t$,15.93,11.31,16.58,7.60,13.46,13.24
cascade $s \to t \to x$,20.34,12.27,19.17,11.09,15.24,14.78
reconstruction,20.19,12.44,20.63,10.88,15.66,13.44
$\mathrm { r e c o n s t r u c t i o n } + \mathcal { L } _ { \mathrm { i n v } }$,20.72,12.64,20.11,10.46,15.43,12.64
triangle $s \xrightarrow { \to { x } \to } t$,20.39,12.70,17.93,10.17,14.94,14.07
triangle $s \xrightarrow { x } t + \mathcal { L } _ { \mathrm { t r a n s } }$,20.52,12.64,18.34,10.42,15.22,14.37
triangle $s \xrightarrow { t } x$,20.38,12.40,18.50,10.22,15.62,14.77
triangle $s \xrightarrow { t } x + \mathcal { L } _ { \mathrm { t r a n s } }$,20.64,12.42,19.20,10.21,15.87,14.89
