Country,Can a person apply for asylum from outside the country?,Can a person seek humanitarian protection from their country of origin or third country?,Comments,Citation
Argentina,No,No,"The application for recognition of refugee status must be submitted by the interested party, verbally or in writing, or by their representative or intervening authority. The applicant must appear in the offices of the Executive Secretariat for the asylum procedure to begin.","Ley 26.165 of 2006, Nov. 8, 2006, Ley General de Reconocimiento y Protección al Refugiado, Disposiciones Generales, Extradición, Condición Jurídica del Refugiado, Órganos Competentes y Funciones en materia de Refugiados, Procedimiento para la Determinación de la Condición de Refugiado,"
Australia,No,Yes,"Permanent ""protection visas"" can only be applied for by asylum-seekers who arrive in Australia legally; those arriving without a valid visa can only apply for temporary visas. Those arriving by boat without a valid visa will be returned or taken to a regional processing country and cannot settle in Australia. Refugee category visas are usually granted to applicants outside Australia who have been assessed and referred by UNHCR for resettlement in Australia. However, for subclass 202 (Global Special Humanitarian visa), applicants are proposed by family members or approved organizations in Australia. Applicants for this visa must be outside Australia and their home country.","Migration Act 1958 (Cth) ss 5H-5LA,35A-37A, 39A & pt 2 div 8 subdiv B (Regional processing), https://perma.cc/GG6K-BYZM; Migration Regulations 1994 (Cth), sch 1 pt 4 (Protection, Refugee and Humanitarian visas) & sch 2 subclasses 200-204,785,790 & 866, https://perma.cc/CEZ3-M9GM (vol. 1), https://perma.cc/A6V5-S6UE (vol. 2), https://perma.cc/R4RY-4BCU (vol. 3). Refugee and Humanitarian Program: Protection Visas (Onshore), Department of Home Affairs, https://perma.cc/H2C8-AHT9; Regional Processing and Resettlement, Department of Home Affairs, https://perma.cc/CK4W-9NZ9. Subclass 200,201,203 and 204: Refugee Category Visas, Department of Home Affairs, https://perma.cc/2T3M-CNPW. Refugee and Humanitarian Program: The Special Humanitarian Program (SHP), Department of Home Affairs, https://perma.cc/45CX-QRHD; Subclass 202: Global Special Humanitarian Visa, https://perma.cc/7J6N-Q64F; Community Support Program, Department of Home Affairs, https://perma.cc/VZU4-NQCX."
Brazil,No,Yes,"Asylum in Brazil can be diplomatic or territorial. Diplomatic asylum applies to a person who is in a foreign country and requests asylum in the Brazilian Embassy. It consists of the protection offered by the Brazilian State and the conduct of the asylee strictly to the national territory, in line with the provisions of the Convention on Diplomatic Asylum of the Organization of American States (OAS), enacted by Decree No. 42,628, of November 13, 1957. Upon arrival in national territory, the beneficiary of diplomatic asylum will be immediately informed of the need to register their condition. Territorial asylum applies to a person who is in the national territory and requests asylum in Brazil. It is a discretionary act and will group or political opinion. This benefit, observe the provisions of the Convention on Territorial Asylum of the OAS, enacted by Decree No. 55,929, of April 14, 1965, and the impeding elements contained in the immigration legislation. The asylum seeker must present himself to the Federal Police for the purpose of registering his migratory status within a period of 30 days, counted from the date of publication of the act granting political asylum.","Lei No. 13.445, de 24 de Maio de 2017, art. 27, https://perma.cc/UK8D-D5XX; Decreto No. 9.199, de 20 de Novembro de 2017 regulates Lei No. 13.445, de 24 de Maio de 2017, arts. 108 - 118, https://perma.cc/5WRS-DJPF; Decreto No. 42.628, de 13 de Novembro de 1957, https://perma.cc/6R86-CXP4; Decreto No. 55.929, de 14 de Abril de 1965, https://perma.cc/N7ST-KJBM; Lei No. 9.474, de 22 de Julho de 1997, art. 7, https://perma.cc/XP2C-G46P."
Canada,Yes,Yes,"The Immigration and Refugee Protection Act (IRPA) regulates asylum in Canada. Section 99(1) states that a claim can be made inside or outside of Canada. Section 99(2) states that a claim made from outside of Canada is done through a visa application as a ""Convention refugee or a person in similar circumstances."" This application is governed by Part I of IRPA. Applications from outside of Canada as part of a resettlement program must be referred by either the UNHCR or another designated referral agency, or through private sponsorship. The Province of Quebec selects its own Convention refugees.","Immigration and Refugee Protection Act, S.C. 2001,c. 27, https://perma.cc/X6DH-33V7; Immigration and Refugee Protection Regulation, SOR/2002-227, https://perma.cc/YK7C-95VT; How Canada's Refugee System Works, Immigration, Refugees and Citizenship Canada, https://perma.cc/B8JC-83SL; Québec Immigration Regulation, c. I-0.2.1, r. 3, https://perma.cc/8NJA-JH9S."
China,Not clear.,Not clear.,"The People's Republic of China (PRC) is a party to the 1951 Convention Relating to the Status of Refugees and its 1967 Protocol. Art. 32, para. 2 of the PRC Constitution declares that the country may grant asylum to foreigners who request it for political reasons.","Constitution of the PRC (adopted by the Nat'l People's Cong. (NPC) on Dec. 4, 1982, last amended Mar. 11, 2018), https://perma.cc/VEW7-PMVK; Exit and Entry Administration Law of the PRC (adopted by the NPC Standing Comm. on June 30, 2012, effective July 1, 2013), art. 46, https://perma.cc/LC7A-GRRS (in Chinese and English)."
Germany,No,No,"Principle of “territorial asylum” applies; application for asylum or international protection must be made at the branch office of the Federal Office for Migration and Refugees (Bundesamt für Migration und Flüchtlinge, BAMF) assigned to the reception center responsible for receiving the foreigner or at BAMF directly.","Asylgesetz [AsylG], Sept. 2, 2008, Bundesgesetzblatt [BGBl.] I at 1798, S 14, S 18, para.1, $ 19, para.1, https://perma.cc/Z9S9-QFD9 (original), https://perma.cc/9VDP-AYFT (English translation, updated through Mar. 11, 2016); Bundesverwaltungsgericht [BVerwG], June 26, 1984, 69 Entscheidungen des Bundesverwaltungsgerichts [BVerwGE] 323, paras. 10-13, https://perma.cc/7GQ2-RW5E."
India,No,No,India does not have a formal refugee and asylum law or policy. Such matters are largely handled in an ad-hoc manner.,"Hamsa Vijayaraghavan, Gaps in India's Treatment of Refugees and Vulnerable Internal Migrants Are Exposed by the Pandemic, Migration Policy Inst. (Sept. 10, 2020), https://perma.cc/LL6D-53AQ; Bhairav Acharya, The Future of Asylum in India: Four Principles to Appraise Legislative Proposals, 9 NUJS L. Rev. 173 (2016), https://perma.cc/6EQP-X3MY."
Italy,No,No,Italian law requires that petitioners for international protection submit their requests personally to the police unit corresponding to their place of residence upon entering the national territory.,"Decreto Legislativo 28 gennaio 2008, n. 25 Attuazione della Direttiva 2005/85/CE recante Norme Minime per le Procedure Applicate negli Stati Membri ai fini del Riconoscimento e della Revoca dello Status di Rifugiato, art. 6(1), https://perma.cc/3DJ5-376K."
Japan,No,No,,"Immigration Control and Refugee Recognition Act, Cabinet Order No. 319 of 1951, amended by Act No. 63 of 2019, art. 61-2, https://perma.cc/7BPP-5EEL."
Mexico,No,Yes,Applications for refugee status can be filed in Mexico within 30 days after the applicant entered the country.,"Ley sobre Refugiados, Protección Complementaria y Asilo Político, arts. 2-IX, 11, 13, 18, 61, 63, 65, 69, Diario Oficial de la Federación [D.O.F.J], Jan. 27, 2011, as amended through 2022, https://perma.cc/QD2N-3BGA."
