药,3 Wireless fast charging,Regular wireless charging
回,X Power Saving mode on,Digital Balance enabled
炎,Bluetooth enabled,湘 Bluetooth device battery
炎,OT Bluetooth device connected,VPN connected
合,勿 Driving mode,Projection device connected
·,Location service enabled O,Eye Comfort enabled
N,四 Headset connected,Headset with a microphone connected
?,四 In call,VoLTE enabled
X,0 Missed call,There are unread messages.
》,Silent mode,Vibration
四,（ NFC enabled,Do Not Disturb mode enabled
Q,? Syncing..,Syncing failed
@,? Performance mode enabled,New email
1,Event reminder ：,More notifications
