Wireless fast charging,Regular wireless charging
Power Saving mode on,Digital Balance enabled
Bluetooth enabled,Bluetooth device battery
OT Bluetooth device connected,VPN connected
勿 Driving mode,Projection device connected
Location service enabled O,Eye Comfort enabled
四 Headset connected,Headset with a microphone connected
四 In call,VoLTE enabled
X Missed call,There are unread messages.
》 Silent mode,Vibration
四 NFC enabled,Do Not Disturb mode enabled
Q Syncing..,Syncing failed
@ Performance mode enabled,New email
1 Event reminder ：,More notifications
