Wireless fast charging,Regular wireless charging
Power Saving mode on,Digital Balance enabled
Bluetooth enabled,Bluetooth device battery
Bluetooth device connected,VPN connected
Driving mode,Projection device connected
Location service enabled,Eye Comfort enabled
Headset connected,Headset with a microphone connected
In call,VoLTE enabled
Missed call,There are unread messages.
Silent mode,Vibration
NFC enabled,Do Not Disturb mode enabled
Syncing...,Syncing failed
Performance mode enabled,New email
Event reminder,More notifications
