5G,5G network connected,4G,4G network connected,,
3G,3G network connected,2G,2G network connected,,
,Full signal strength,Roaming,,,
,Data saver enabled.,No SIM card inserted,,,
,Hotspot enabled,Hotspot connected,,,
,Hotspot disconnected,Switching network via Wi-Fi+,,,
,Wi-Fi connected,"Wi-Fi network is faulty, unable to connect to the Internet",,,
,Wi-Fi 6 connected,"Wi-Fi 6 network is faulty, unable to connect to the Internet",,,
,Wi-Fi 6+ connected,"Wi-Fi 6+ network is faulty, unable to connect to the Internet",,,
,Airplane mode is ON,Alarm set,,,
,Battery empty,Low battery power,,,
,Charging,Quick charging,,,
,Super charging,Wireless super charging,,,
