Years Ended December 31,2018,2017,2016
Net income including noncontrolling interest,"$5,363","$4,869","$5,058"
Depreciation and amortization,"1,488","1,544","1,474"
Company pension and postretirement contributions,(370),(967),(383)
Company pension and postretirement expense,410,334,250
Stock-based compensation expense,302,324,298
Gain on sale of businesses,(545),(586),(111)
Income taxes (deferred and accrued income taxes),77,"1,074",108
Accounts receivable,(305),(245),(313)
Inventories,(509),(387),57
Accounts payable,408,24,148
Other — net,120,256,76
Net cash provided by operating activities,"$6,439","$6,240","$6,662"
