Change in benefit obligation,United States,International,Postretirement,Benefits
Benefit obligation at beginning of year,"$ 17,360","$ 7,502","$ 2,410",
Acquisitions/Transfers,,(11),,
Service cost,288,143,,52
Interest cost,563,157,,79
Participant contributions,,9,,
Foreign exchange rate changes,,(387),,(13)
Plan amendments,,7,,
Actuarial (gain) loss,"(1,226)",(144),,(244)
Benefit payments,"(1,034)",(304),,(109)
"Settlements, curtailments, special termination benefits and other",(3),7,,
Benefit obligation at end of year,"$ 15,948","$ 6,965",,"$ 2,175"
Change in plan assets,,,,
Fair value of plan assets at beginning of year,,,,"$ 15,686"
Acquisitions/Transfers,(4),,,
Actual return on plan assets,(95),,,(32)
Company contributions,254,112,,4
Participant contributions,,9,,
Foreign exchange rate changes,,(346),,
Benefit payments,"(1,034)",(304),,(109)
"Settlements, curtailments, special termination benefits and other",(4),,,
Fair value of plan assets at end of year,"$ 14,803","$ 6,170",,"$ 1,260"
Funded status at end of year,"$ (1,145)",$ (795),,$ (915)
