"Year ended,December 31",,2018,2017,2016
Net Sales (Millions),Abrasives,"$ 1,804","$ 1,746","$ 1,626"
Net Sales (Millions),Adhesives and Tapes,"4,607","4,468","4,239"
Net Sales (Millions),Advanced Materials,"1,239","1,124","1,039"
Net Sales (Millions),Automotive and Aerospace,"2,063","1,994","1,871"
Net Sales (Millions),Automotive Aftermarket,"1,642","1,645","1,590"
Net Sales (Millions),Separation and Purification,913,886,859
Net Sales (Millions),Other Industrial,,3,(7)
Net Sales (Millions),Total Industrial Business Group,"$ 12,267","$ 11,866","$ 11,217"
Net Sales (Millions),Commercial Solutions,"$ 1,842","$ 1,759","$ 1,751"
Net Sales (Millions),Personal Safety,"3,681","3,012","2,597"
Net Sales (Millions),Roofing Granules,353,372,344
Net Sales (Millions),Transportation Safety,950,"1,091","1,259"
Net Sales (Millions),Other Safety and Graphics,,1,(3)
Net Sales (Millions),Total Safety and Graphics Business Group,"$ 6,827","$ 6,235","$ 5,948"
Net Sales (Millions),Drug Delivery,$ 444,$ 486,$ 451
Net Sales (Millions),Food Safety,332,306,280
Net Sales (Millions),Health Information Systems,,791,280
Net Sales (Millions),Medical Solutions,837,"2,947","2,824"
Net Sales (Millions),Oral Care,"1,353","1,322","1,274"
Net Sales (Millions),Other Health Care,,(3),
Net Sales (Millions),Total Health Care Business Group,"$ 6,021","$ 5,853","$ 5,606"
Net Sales (Millions),Electronics,"$ 3,974","$ 3,850","$ 3,304"
Net Sales (Millions),Energy,"1,487","1,645",
Net Sales (Millions),Other Electronics and Energy,,6,"1,616"
Net Sales (Millions),Total Electronics and Energy Business Group,"$ 5,472","$ 5,501","$ 4,926"
Net Sales (Millions),Consumer Health Care,$ 389,$ 421,$ 382
Net Sales (Millions),Home Care,"1,012","1,028","1,000"
Net Sales (Millions),Home Improvement,"1,961","1,858","1,723"
Net Sales (Millions),Stationery and Office,"1,383","1,377","1,435"
Net Sales (Millions),Other Consumer,51,47,38
Net Sales (Millions),Total Consumer Business Group,"$ 4,796","$ 4,731","$ 4,578"
Net Sales (Millions),Corporate and Unallocated,$ 50,,
Net Sales (Millions),Elimination of Dual Credit,"(2,668)","(2,532)","(2,172)"
Net Sales (Millions),Total Company,"$ 32,765","$ 31,657","$ 30,109"
