NameofCompany,OrganizedUnderLaw of
3MJapan Products Limited,Japan
3MKorea Ltd,Korea
3M Asset Management S.a.r.1.,Luxembourg
3MGlobal Capital S.a.r.,Luxembourg
"3MMexico, Sociedad Anonima de Capital Variable",Mexico
3MAsia HoldingB.V,Netherlands
3M Global Acquisitions B.V.,Netherlands
3M Holding Company B.V.,Netherlands
3M Intermediate Acquisitions B.V.,Netherlands
3MInternational Group B.V,Netherlands
3M International Holding B.V.,Netherlands
3M International Investments B.V.,Netherlands
3M West Europe B.V,Netherlands
3MPanama Pacifico S. de R.L 3M Poland Manufacturing Sp. z.o.o.,Panama
3MWroclaw spolka z ograniczona odpowiedzialnoscia,Poland
3MInnovation Singapore Pte. Ltd.,Poland Singapore
3MSingapore Pte.Ltd.,Singapore
"3M Espana, S.L",
3MSvenska Aktiebolag,Spain
3M EMEA GmbH,Sweden
3MTaiwanLimited,Switzerland
3M Taiwan Optronics Corporation,Taiwan
"Alpha Beta Global Tapes and Adhesives Co., Ltd.",Taiwan
,Taiwan
3M Thailand Limited,Thailand
3MUK HoldingsLimited,United Kingdom
3MUnited Kingdom Public Limited Company,United Kingdom
Capital Safety AcquisitionsLimited Scott Health & Safety Limited,United Kingdom United Kingdom
