,"Three months ended December31,2018",Year ended,Year ended
,"Three months ended December31,2018","December 31,2018","December31,2017"
Same period last year,22.4 %,24.3 %,23.3 %
"Increase/(decrease) in operating income margin, due to:",,,
2017 divestiture of identity management business,,(1.3),1.3
Organic volume/productivity and other,1.0,0.9,(0.3)
Acquisitions/other divestiture gains,(1.2),(0.1),0.1
Selling price and raw material impact,0.2,0.1,0.4
Foreign exchange impacts,0.1,(0.2),(0.5)
Legal-related charges,,(0.2),
"2018 divestiture of Communication Markets Division, net of related restructuring",,,
"actions Current period, excluding MN Natural Resource Damages (NRD) resolution",(0.1),1.2,
MN NRD resolution,22.4%,24.7 %,24.3 %
Current period,22.4%,(2.7),
,,22.0%,24.3%
