Asset Class,Fair Value Measurements Using Inputs Considered as Level 1,Fair Value Measurements Using Inputs Considered as Level 2,Fair Value Measurements Using Inputs Considered as Level 3,Fair Value at Dec. 31
Equities,Growth equities,$ 460,$ 248,"$ —,$ 708"
Equities,Value equities,$ 446,$ 42,"$ —,$ 488"
Equities,Core equities,$ 55,$ 742,"$ 5,$ 802"
Equities,"Equities, valued at net asset value*",$ 16,$ 4,"$ —,$ 21"
Equities,Total Equities,$ 961,"$ 1,032","$ 5,$ 2,014"
Fixed Income,Domestic government,$ 334,$ 351,"$ 5,$ 690"
Fixed Income,Foreign government,$ 150,$ 321,"$ —,$ 471"
Fixed Income,Corporate debt securities,$ 56,$ 993,"$ 9,$ 1,058"
Fixed Income,"Fixed income securities, valued at net asset value*",$ 14,$ 14,"$ —,$ 961"
Fixed Income,Total Fixed Income,$ 540,"$ 1,665","$ 14,$ 3,180"
Private Equity,Real estate,$ 5,$ 75,"$ 4,$ 84"
Private Equity,"Real estate, valued at net asset value*",$ 36,$ 74,"$ 3,$ 37"
Private Equity,Partnership investments*,$ —,$ —,"$ 89,$ 68"
Private Equity,Total Private Equity,$ 5,$ 75,"$ 4,$ 210"
Absolute Return,Derivatives,$ 1,$ 1,"$ —,$ 2"
Absolute Return,Insurance,$ —,$ —,"$ 496,$ 496"
Absolute Return,Other,$ —,$ 33,"$ 8,$ 7"
Absolute Return,"Other, valued at net asset value*",$ —,$ —,"$ —,$ 1"
Absolute Return,Hedge funds*,$ —,$ —,"$ 186,$ 194"
Absolute Return,Total Absolute Return,$ 1,$ 34,"$ 504,$ 725"
Cash and Cash Equivalents,Cash and cash equivalents,$ 71,$ 22,"$ —,$ 93"
Cash and Cash Equivalents,"Cash and cash equivalents, valued at net asset value*",$ 71,$ 22,"$ —,$ 93"
Cash and Cash Equivalents,Total Cash and Cash Equivalents,$ 71,$ 22,"$ —,$ 94"
Total,"$ 1,578","$ 2,014",$ 527,"$ 6,223"
Other items to reconcile to fair value of plan assets,$ (53),$ —,$ —,$ —
Fair value of plan assets,"$ 6,170","$ 6,737",$ —,$ —
