"Year ended December 31, 2018,Amount",Location,Amount,,
Foreign currency denominated debt,$ 222,Cost of sales,$ (2),
Foreign currency forward contracts,18,Cost of sales,,4
Total,$ 240,$,2,
"Year ended December 31, 2017,Amount",Location,Amount,,
Foreign currency denominated debt,$ (667),N/A,$ —,
Foreign currency forward contracts,(58),Cost of sales,,7
Total,$ (725),$,7,
"Year ended December 31, 2016,Amount",Location,Amount,,
Foreign currency denominated debt,$ 215,N/A,$ —,
Foreign currency forward contracts,(9),Cost of sales,,(3)
Total,$ 206,$,3,
