Signature,Title
Inge G. Thulin,Executive Chairman of the Board
Michael F.Roman,"Chief Executive Officer,Director(Principal Executive Officer)"
Ippocratis Vrohidis,"Vice President, Corporate Controller and Chief Accounting Officer"
Sondra L.Barbour,(Principal Accounting Officer) Director
Thomas K.Brown,Director
David B. Dillon,Director
Michael L.Eskew,Director
Herbert L.Henkel,Director
Amy E.Hood,Director
Muhtar Kent,Director
Edward M. Liddy,Director
Dambisa F.Moyo,Director
Gregory R. Page Patricia A.Woertz,Director
,Director
