Deferred tax assets,2018,2017
Accruals not currently deductible,,
Employee benefit costs,$ 187,$ 178
Product and other claims,$ 228,$ 204
Miscellaneous accruals,$ 113,$ 98
Pension costs,$ 643,$ 760
Stock-based compensation,$ 203,$ 210
Net operating/capital loss/tax credit carryforwards,$ 71,$ 89
Foreign tax credits,,$ 32
Currency translation,,$ 59
Inventory,$ 54,$ 51
Other,$ 24,
Gross deferred tax assets,"$ 1,523","$ 1,681"
Valuation allowance,$ (67),$ (81)
Total deferred tax assets,"$ 1,456","$ 1,600"
Deferred tax liabilities,,
Product and other insurance receivables,,(6)
Accelerated depreciation,$ (521),$ (447)
Intangible amortization,$ (799),$ (784)
Currency translation,$ (35),
Other,$ (8),$ (87)
Total deferred tax liabilities,"$ (1,370)","$ (1,324)"
Net deferred tax assets,$ 86,$ 276
