(Millions),Currency/ Fixed vs.,Effective Interest,Final Maturity,Carrying Value,Carrying Value
Description /2018 Principal Amount,Floating,Rate,Date,2018,2017
Medium-term note (repaid in 2018) Medium-term note (repaid in 2018),Euro Floating USD Floating,% 一%,,,600 448
Medium-term note ($600 million),USD Floating,1.74 %,2019,596,596
Medium-term note ($25 million),USD Fixed,1.74 %,2019,25,25
Medium-term note (650 million Euros),,二%,,743,779
Medium-term note ($300 million),Euro Floating,2.61 %,2020,,296
Medium-term note ($200 million),USD Floating,,2020,294,198
Eurobond (300 million Euros),USD Floating,2.69 %,2020,197,378
Eurobond (300 million Euros),Euro Floating,-% 1.97 %,2021,357,
Medium-term note ($600 million),Euro Fixed,,2021,341,358
Medium-term note ($200 million),USD Fixed,1.63 %,2021,599,598
Medium-term note ($200 million),USD Fixed,3.07 %,2021,199,
Medium-term note (500 million Euros),USD Floating,3.07 % 0.45 %,2021,201,一
Medium-term note ($600 million),Euro Fixed USD Fixed,2.17 %,2022,570,597
Medium-term note (600 million Euros),,1.14 %,2022,596,595
Medium-term note ($650 million),Euro Fixed USD Fixed,,2023,680,712
Medium-term note ($300 million),USD Floating,2.26 % 2.91 %,2023,648,647
Medium-term note ($300 milion),USD Fixed,3.30 %,2024,299,
Medium-term note ($550 million),USD Fixed,3.04 %,2024,298,
Medium-term note (750 million Euros),Euro Fixed,1.65 %,2025,547,546
Medium-term note ($650 million),USD Fixed,2.37 %,2026 2026,844,885
Medium-term note ($850 million),USD Fixed,2.95 %,2027,642,641
30-year debenture ($220 million),USD Fixed,6.01 %,2028,841,839
Medium-term note ($600 million),USD Fixed,3.62 %,,226,227
Medium-term note (500 million Euros),Euro Fixed,1.90 %,2028 2030,597,一 589
Medium-term note (500 million Euros),Euro Fixed,1.54 %,,562,
30-year bond ($555 million),USD Fixed,5.73 %,2031 2037,567,595 550
Floating rate note ($96 million),USD Floating,2.45 %,2041,551 95,95
Medium-term note ($325 million),USD Fixed,4.05 %,2044,314,313
Floating rate note ($55 million),USD Floating,2.43 %,2044,53,54
Medium-term note ($500 million),USD Fixed,3.37 %,2046,474,473
Medium-term note ($500 million),USD Fixed,3.68 %,2047,491,491
Medium-term note ($650 million),USD Fixed,4.07 %,2048,637,一
Other borrowings,Various,2.35 %,2019-2040,72,73
Total long-term debt,,,,"$ 14,156","$ 13,198"
Less: current portion of long-term debt,Less: current portion of long-term debt,Less: current portion of long-term debt,Less: current portion of long-term debt,745 $,"1,102"
Long-term debt (excluding current portion),Long-term debt (excluding current portion),Long-term debt (excluding current portion),Long-term debt (excluding current portion),"13,411 $","12,096"
