Period,Total Number of Shares Purchased,Average Price Paid per Share,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Maximum Approximate Dollar Value of Shares that May Yet Be Purchased under the Plans or Programs (Millions)
"January 1-31, 2018",714,575,$245.98,"714,138,$4,894"
"February 1-28, 2018",1,420,634,"$233.78,1,420,599,$4,562"
"March 1-31, 2018",1,791,496,"$228.82,1,791,496,$4,152"
"Total January 1-March 31, 2018",3,926,705,"$233.74,3,926,233,$4,152"
"April 1-30, 2018",2,135,968,"$213.63,2,135,968,$3,696"
"May 1-31, 2018",3,283,170,"$201.64,3,282,339,$3,034"
"June 1-30, 2018",2,358,619,"$200.31,2,358,619,$2,562"
"Total April 1-June 30, 2018",7,777,757,"$204.53,7,776,926,$2,562"
"July 1-31, 2018",1,851,663,"$201.17,1,851,663,$2,189"
"August 1-31, 2018",1,813,661,"$205.37,1,813,661,$1,817"
"September 1-30, 2018",1,476,649,"$211.62,1,476,649,$1,504"
"Total July 1-September 30, 2018",5,141,973,"$205.65,5,141,973,$1,504"
"October 1-31, 2018",2,346,310,"$198.16,2,346,310,$1,039"
"November 1-30, 2018",1,847,238,"$199.51,1,847,238,$9,828"
"December 1-31, 2018",2,249,175,"$192.10,2,249,175,$9,396"
"Total October 1-December 31, 2018",6,442,723,"$196.43,6,442,723,$9,396"
"Total January 1-December 31, 2018",23,289,158,"$207.46,23,287,855,$9,396"
