Years,Capital Leases,Operating Leases,Capital Leases,Operating Leases,Capital Leases,Operating Leases
2019,$18,,$16,$283,$18,$283
2020,$16,,$16,$208,$16,$208
2021,$14,,$14,$153,$14,$153
2022,$12,,$12,$122,$12,$122
2023,$12,,$12,$92,$12,$92
After 2023,$32,,$32,$253,$32,$253
Total,$104,"""$ 1,111""",$104,"""$ 1,111""",$104,"""$ 1,111"""
Less: Amounts representing interest,$12,,$12,,$12,
Present value of future minimum lease payments,,,,92,,92
Less: Current obligations under capital leases,,,,17,,17
Long-term obligations under capital leases,$75,,$75,,$75,
