Year ended,December 31,,2018,2017,2016
Net Sales (Millions),Abrasives,"$ 1,804","$ 1,746","$ 1,626",
Adhesives and Tapes,"4,607","4,468","4,239",,
Advanced Materials,"1,239","1,124","1,039",,
Automotive and Aerospace,"2,063","1,994","1,871",,
Automotive Aftermarket,"1,642","1,645","1,590",,
Separation and Purification,913,886,859,,
Other Industrial,(1),3,(7),,
Total Industrial Business Group,"$ 12,267","$ 11,866","$ 11,217",,
Commercial Solutions,"$ 1,842","$ 1,759","$ 1,751",,
Personal Safety,"3,681","3,012","2,597",,
Roofing Granules,353,372,344,,
Transportation Safety,950,"1,091","1,259",,
Other Safety and Graphics,1,1,(3),,
Total Safety and Graphics Business Group,"$ 6,827","$ 6,235","$ 5,948",,
Drug Delivery,$ 444,$ 486,$ 451,,
Food Safety,332,306,280,,
Health Information Systems,837,791,780,,
Medical Solutions,"3,049","2,947","2,824",,
Oral Care,"1,353","1,322","1,274",,
Other Health Care,6,1,(3),,
Total Health Care Business Group,"$ 6,021","$ 5,853","$ 5,606",,
Electronics,"$ 3,974","$ 3,850","$ 3,304",,
Energy,"1,487","1,645","1,616",,
Other Electronics and Energy,11,6,6,,
Total Electronics and Energy Business Group,"$ 5,472","$ 5,501","$ 4,926",,
Consumer Health Care,$ 389,$ 421,$ 382,,
Home Care,"1,012","1,028","1,000",,
Home Improvement,"1,961","1,858","1,723",,
Stationery and Office,"1,383","1,377","1,435",,
Other Consumer,51,47,38,,
Total Consumer Business Group,"$ 4,796","$ 4,731","$ 4,578",,
Corporate and Unallocated,$ 50,$ 3,$ 6,,
Elimination of Dual Credit,"(2,668)","(2,532)","(2,172)",,
Total Company,"$ 32,765","$ 31,657","$ 30,109",,
