,Pretax Gain (Loss) Recognized in Other Comprehensive Income on Effective Portion of Derivative,Income on Effective Portion of Derivative as a Result of Reclassification from Accumulated Other Comprehensive Income,Income on Effective Portion of Derivative as a Result of Reclassification from Accumulated Other Comprehensive Income,Ineffective Portion of Gain (Loss) on Derivative and Amount Excluded from Effectiveness Testing Recognized in Income,Ineffective Portion of Gain (Loss) on Derivative and Amount Excluded from Effectiveness Testing Recognized in Income
(Millions) Foreigncurrencyforward/optioncontracts,Amount,Location Cost of sales (18),Amount,Location (95) Cost of sales (1),Amount $
Interest rate swap contracts Total,,Interest expense,,Interest expense,
"Year ended December 31,2017",,,,,
(Millions),Amount,Location,Amount,Location,Amount
Foreigncurrency forward/optioncontracts,,(305) Cost of sales,,Cost of sales,
Interest rate swap contracts,,(6) Interest expense (311),,Interest expense,
Total,,,,,
"Year ended December 31,2016",,,,,
(Millions),Amount,Location,Amount,Location,Amount
Foreigncurrency forward/optioncontracts,,58 Cost of sales () Interest expense,,Cost of sales Interest expense,
Interest rate swap contracts Total,,,,,
