Details about Accumulated Other Comprehensive Income Components,Amounts Reclassified from Accumulated Other Comprehensive Income,Amounts Reclassified from Accumulated Other Comprehensive Income,Amounts Reclassified from Accumulated Other Comprehensive Income,Location on Income
Details about Accumulated Other Comprehensive Income Components,,"Year endedDecember 31,",,Location on Income
(Millions),2018,2017,2016,Statement
Gains (losses) associated with defined benefit pension and postretirement plans amortization,,,,
Transition asset,$,$,1,See Note 13
Prior service benefit,76,89,,See Note 13
Net actuarial loss,(678),(570),(506),See Note 13
Curtailments/Settlements,(4),(2),(8),See Note 13
Total before tax,(606),(483),(421),
Tax effect,145,116,148,Provision for income taxes
Net of tax,$ (461),$ (367)s,(273),
Cash flow hedging instruments gains (losses),,,,
Foreign currency forward/option contracts,$ (95)$,8$,110,Cost of sales
Interest rate swap contracts,(1),(1),(1),Interest expense
Total before tax,96),7,109,Provision for income taxes
Tax effect Net of tax,19,(3) $,(39),
"Total reclassifications for the period, net of tax",$ (77) $ (538),$ (363),$ 70 $ (203),
