"Three months ended December 31, 2018",United States,Asia Pacific,"Europe, Middle East & Africa",Latin America/ Canada,Other Unallocated,Worldwide
Net sales (millions),"$ 3,183","$ 2,453","$ 1,577",$ 735,$ (3),"$ 7,945"
% of worldwide sales,40.1 %,30.9 %,19.8 %,9.2 %,—,100.0 %
Components of net sales change:,Volume — organic,3.1 %,1.4 %,(0.6) %,2.2 %,"—,1.6 %"
Price,1.3 %,0.6 %,1.9 %,2.8 %,—,1.4 %
Organic local-currency sales,4.4 %,2.0 %,1.3 %,5.0 %,—,3.0 %
Divestitures,(1.1) %,(0.4) %,(2.9) %,(1.4) %,—,(1.3) %
Translation,— %,(2.4) %,(4.8) %,(6.4) %,— %,(2.3) %
Total sales change,3.3 %,(0.8) %,(6.4) %,(2.8) %,— %,(0.6) %
Total sales change:,Industrial,4.1 %,(2.0) %,(3.1) %,(4.8) %,"— %,(0.3) %"
Safety and Graphics,4.6 %,(5.8) %,(0.9) %,1.4 %,— %,0.3 %
Health Care,2.8 %,6.9 %,— %,(1.1) %,— %,2.4 %
Electronics and Energy,(7.3) %,2.3 %,(39.5) %,(13.8) %,— %,(4.5) %
Consumer,5.3 %,(7.4) %,(10.7) %,(2.0) %,— %,0.1 %
Organic local-currency sales change:,Industrial,4.1 %,0.8 %,1.9 %,2.3 %,"— %,2.5 %"
Safety and Graphics,5.0 %,(2.5) %,4.5 %,7.1 %,— %,3.3 %
Health Care,2.8 %,10.6 %,4.6 %,5.5 %,— %,4.8 %
Electronics and Energy,5.7 %,4.7 %,(7.0) %,7.2 %,— %,4.1 %
Consumer,5.3 %,(4.9) %,(6.9) %,6.2 %,— %,1.9 %
