Signature,Title
Inge G. Thulin,Executive Chairman of the Board
Michael F. Roman,"""Chief Executive Officer, Director (Principal Executive Officer)"""
Ippocratis Vrohidis,"""Vice President, Corporate Controller and Chief Accounting Officer (Principal Accounting Officer)"""
Sondra L. Barbour,Director
Thomas K. Brown,Director
David B. Dillon,Director
Michael L. Eskew,Director
Herbert L. Henkel,Director
Amy E. Hood,Director
Muhtar Kent,Director
Edward M. Liddy,Director
Dambisa F. Moyo,Director
Gregory R. Page,Director
Patricia A. Woertz,Director
