,"YearendedDecember31,2017 Europe, Latin","YearendedDecember31,2017 Europe, Latin","YearendedDecember31,2017 Europe, Latin","YearendedDecember31,2017 Europe, Latin","YearendedDecember31,2017 Europe, Latin","YearendedDecember31,2017 Europe, Latin"
,United States,Asia Pacific,Middle East &Africa,America/ Canada,Other Unallocated,Worldwide
Net sales (millions),"$ 12,372","9,809","6,456","$ 3,033 $",,"(13)$ 31,657"
% of worldwide sales,39.1%,31.0%,20.4%,9.5%,,100.0 %
Components of net sales change:,,,,,,
Volume-organic,2.8 %,11.5 %,2.5 %,2.5 %,,5.2 %
Price,(0.3),(0.3),0.7,1.1,,
Organic local-currency sales,2.5,11.2,3.2,3.6,,5.2
Acquisitions,0.5,0.2,0.7,0.2,,0.4
Divestitures,(1.5),(0.4),(0.8),(1.4),,(1.0)
Translation,,(0.1),1.7,2.2,,0.5
Total sales change,1.5%,10.9%,4.8%,4.6%,,5.1%
Total sales change: Industrial,,,,,,
,3.1 %,8.7%,6.5 %,6.8 %,,5.8 %
Safety and Graphics,1.3 %,10.0 %,8.3%,0.6%,,4.8 %
Health Care,3.7 %,8.5 %,1.5 %,9.1 %,,4.4 %
Electronics and Energy Consumer,1.2 %,17.2 % 12.4 %,2.2%,3.1%,,11.7 %
,0.2 %,,2.2 %,7.1 %,,3.3 %
Organic local-currency sales change:,,,,,,
Industrial,3.9 %,9.3 %,5.1%,5.3 %,,5.8 %
Safety and Graphics,4.2 %,11.6 %,6.5 %,2.5 %,,6.3 %
Health Care,3.7 %,8.4%,0.3 %,6.8 %,,3.9 %
Electronics and Energy,2.2 %,17.3 %,0.1 %,1.4 %,,11.6 %
Consumer,0.2 %,11.7 %,0.4%,4.3 %,,2.7 %
