,"December 31, 2018","December 31, 2018"
(Millions) Customer related intangible assets,"$ 2,291",2017 2.332
Patents,542,561
Other technology-based intangible assets,576,583
Definite-lived tradenames,664,678
Other amortizable intangible assets,125,207
Total gross carrying amount,"4,198","4,361"
,$,$
Accumulated amortization - -customer related,(998),(874)
Accumulated amortization - patents,(487),(489)
Accumulated amortization other technology based,(333),(292)
Accumulated amortization - definite-lived tradenames,(276),(256)
Accumulated amortization other,,(162)
Total accumulated amortization,"(88) $ (2,182)",(2.073)
Total finite-lived intangible assets 一 net,,$
Total finite-lived intangible assets 一 net,2.016,"2,288"
,$,
Non-amortizable intangible assets (primarily tradenames),641,648
Total intangible assets — net,"$ 2,657","$ 2,936"
