Asset Class,Level 1,Level 2,Level 3,"Fair Value at Dec. 31,"
Equities,$356,$465,$58,"$71,$356,$465"
U.S. equities,$356,$465,$58,"$71,$356,$465"
Non-U.S. equities,$58,$71,$58,"$71,$58,$71"
Index and long/short equity funds*,$34,$45,$34,"$45,$34,$45"
Total Equities,$414,$536,$581,"$448,$448,$581"
Fixed Income,$112,$136,$416,"$412,$325,$341"
U.S. government securities,$112,$136,$213,"$205,$325,$341"
Non-U.S. government securities,$4,$9,$4,"$9,$4,$9"
U.S. corporate bonds,$162,$159,$162,"$159,$162,$159"
Non-U.S. corporate bonds,$32,$35,$32,"$35,$32,$35"
Derivative instruments,$5,$4,$5,"$4,$5,$4"
Total Fixed Income,$112,$136,$416,"$412,$528,$548"
Private Equity,$2,$2,$101,"$109,$2,$2"
Growth equity,$2,$2,$101,"$109,$2,$2"
Partnership investments*,$101,$109,$101,"$109,$101,$109"
Total Private Equity,$2,$2,$101,"$109,$103,$111"
Absolute Return,$1,$1,$5,"$4,$104,$95"
Fixed income and other,$1,$1,$5,"$4,$6,$5"
Hedge fund/fund of funds*,$80,$76,$80,"$76,$80,$76"
Partnership investments*,$18,$14,$18,"$14,$18,$14"
Total Absolute Return,$1,$1,$5,"$4,$104,$95"
Cash and Cash Equivalents,$47,$34,$5,"$1,$52,$35"
Cash and cash equivalents,$47,$34,$5,"$1,$52,$35"
Repurchase agreements and derivative margin activity,$-,$-,$-,"$-,$-,$-20"
"Cash and cash equivalents, valued at net asset value*",$37,$57,$37,"$57,$37,$57"
Total Cash and Cash Equivalents,$47,$34,$5,"$19,$52,$72"
Total,$576,$709,$426,"$397,$1,272,$1,407"
Other items to reconcile to fair value of plan assets,$-,$-,$-,"$-,$-,$-10"
Fair value of plan assets,"$1,260","$1,397","$1,260","$1,397"
