Name of Company,Organized Under Law of
3M Japan Products Limited,Japan
3M Korea Ltd,Korea
3M Asset Management S.a.r.l.,Luxembourg
3M Global Capital S.a.r.l.,Luxembourg
"""3M Mexico, Sociedad Anonima de Capital Variable""",Mexico
3M Asia Holding B.V.,Netherlands
3M Global Acquisitions B.V.,Netherlands
3M Holding Company B.V.,Netherlands
3M Intermediate Acquisitions B.V.,Netherlands
3M International Group B.V.,Netherlands
3M International Holding B.V.,Netherlands
3M International Investments B.V.,Netherlands
3M West Europe B.V.,Netherlands
3M Panama Pacifico S. de R.L,Panama
3M Poland Manufacturing Sp. z.o.o.,Poland
3M Wroclaw spolka z ograniczona odpowiedzialnoscia,Poland
"""3M Innovation Singapore Pte. Ltd."", ""3M Singapore Pte. Ltd.""",Singapore
"""3M Espana, S.L.""",Spain
3M Svenska Aktiebolag,Sweden
3M EMEA GmbH,Switzerland
3M Taiwan Limited,Taiwan
3M Taiwan Optronics Corporation,Taiwan
"""Alpha Beta Global Tapes and Adhesives Co., Ltd.""",Taiwan
,
3M Thailand Limited,Thailand
3M UK Holdings Limited,United Kingdom
3M United Kingdom Public Limited Company,United Kingdom
Capital Safety Acquisitions Limited,United Kingdom
Scott Health & Safety Limited,United Kingdom
