United States,Asia Pacific,"Europe, Middle East & Africa",Latin America/Canada,Other Unallocated,Worldwide
"$12,840","$10,254","$6,654","$3,024",,"$32,765"
39.2 %,31.3 %,20.3 %,9.2 %,-,100.0 %
Volume — organic,2.1 %,3.5 %,-,2.1 %,"-,2.1 %"
Price,1.1,0.3,1.7,2.0,"-,1.1"
Organic local-currency sales,3.2,3.8,1.7,4.1,"-,3.2"
Acquisitions,1.9,0.5,2.2,0.7,"-,1.4"
Divestitures,(1.3),(0.6),(2.5),(1.4),"-,(1.3)"
Translation,-,0.8,1.7,(3.7),"-,0.2"
Total sales change,3.8 %,4.5 %,3.1 %,(0.3) %,"-,3.5 %"
Total sales change:,Industrial,3.6 %,4.4 %,4.2 %,"(1.8) %,—,3.4 %"
Safety and Graphics,11.2 %,7.0 %,12.9 %,2.6 %,"-,9.5 %"
Health Care,(0.2) %,10.2 %,3.8 %,2.0 %,"-,2.9 %"
Electronics and Energy,(3.2) %,3.6 %,(19.0) %,(9.8) %,"-,(0.5) %"
Consumer,3.7 %,(2.2) %,(2.1) %,(0.8) %,"-,1.4 %"
Organic local-currency sales change:,Industrial,3.6 %,3.3 %,2.5 %,"3.1 %,—,3.2 %"
Safety and Graphics,5.4 %,4.9 %,5.4 %,1.9 % 4.7 %,"-,5.1 %"
Health Care Electronics and Energy,(0.3) % 4.6 %,9.5 % 3.9 %,(3.4)% 2.5 %,,"-,2.6 %"
Consumer,3.7 %,(3.0) %,(3.9) %,4.5 %,"-,1.5 %"
