"Year ended December 31, 2018",Amount,Location,Amount,Location,Amount
Foreign currency forward/option contracts,$,151,Cost of sales,$,95
Interest rate swap contracts,$(18),Interest expense,$(1),Interest expense,
Total,"$, 133",,"$, 96",,"$,"
"Year ended December 31, 2017",Amount,Location,Amount,Location,Amount
Foreign currency forward/option contracts,$,305,Cost of sales,$,8
Interest rate swap contracts,$(6),Interest expense,$(1),Interest expense,
Total,"$, 311",,"$, 7",,"$,"
"Year ended December 31, 2016",Amount,Location,Amount,Location,Amount
Foreign currency forward/option contracts,$,58,Cost of sales,$,110
Interest rate swap contracts,$(1),Interest expense,$(1),Interest expense,
Total,"$, 57",,"$, 109",,$
