/s/Inge G.Thulin,/s/MichaelF.Roman
"Inge G.Thulin, Executive Chairman of the Board (Director)","MichaelF.Roman, Chief Executive Oficer,Director (Principal Executive Officer)"
"/s/Nicholas C. Gangestad Nicholas C.Gangestad,Senior icePresidentandief",/s/Ippocratis Vrohidis
Financial Officer (Principal Financial Officer),"Ippocratis Vrohidis,Vice President,Controler and Chief Accounting Officer (Principal Accounting Officer)"
/s/SondraL.Barbour,/s/Muhtar Kent
"Sondra L.Barbour,Director","Muhtar Kent,Director"
/s/ThomasK.Brown,/s/EdwardM.Liddy
"Thomas K.Brown,Director","Edward M.Liddy,Director"
/s/David B.Dillon,/s/DambisaF.Moyo
"David B.Dillon,Director","DambisaF.Moyo,Director"
/s/MichaelL.Eskew,/s/GregoryR.Page
"MichaelL.Eskew,Director","Gregory R. Page, Director"
"/s/Herbert L.Henkel Herbert L.Henkel,Director",/s/PatriciaA.Woertz
,"Patricia A.Woertz,Director"
"/s/AmyE.Hood AmyE.Hood,Director",
