,Recognized as Cumulative Translation within Other Comprehensive Income on Effective Portion of Instrument,Recognized as Cumulative Translation within Other Comprehensive Income on Effective Portion of Instrument,Ineffective Portion of Gain (Loss) on Instrument and Amount Excluded from Effectiveness Testing,Ineffective Portion of Gain (Loss) on Instrument and Amount Excluded from Effectiveness Testing
"Year ended December 31,2018 (Millions)",Amount,Location,Recognized in Income,Amount
Foreign currency denominated debt,,222 Cost of sales 18,$,(2)
Foreign currency forward contracts,,Cost of sales,,4 2
Total,,240,$,
"Year ended December 31,2017 (Millions)",Amount,,Location $,Amount
Foreign currency denominated debt,,(667) N/A,,
Foreign currency forward contracts,,(58),Cost of sales,7
Total,,(725),$,7
"Year ended December 31,2016",,,,
(Millions),Amount,,Location,Amount
Foreign currency denominated debt,,215,N/A,$
Foreign currency forward contracts,$,(9),Cost of sales,
Total,$,206,$,(3) (3)
