YearsendedDecember31 (Millions),2018,2017,2016
Return on Invested Capital (non-GAAP measure),,,
Net income including non-controlling interest,"5,363","4,869","5,058"
Interest expense (after-tax) (1),268,208,143
Adjusted net income (Return),"5,631","5,077","5,201"
Average shareholders' equity (including non-controlling interest) (2),"10,407","11,627","11,316"
Average short-term and long-term debt (3),"14,912","12,156","11,725"
Average invested capital,"25,318","23,783",23.041
Return on invested capital (non-GAAP measure),22.2 %,21.3 %,22.6 %
(1) Effective income tax rate used for interest expense,23.4 %,35.5 %,28.3 %
(2) Calculation of average equity (includes non-controlling interest),,,
Ending total equity as of:,1,,$
March 31,"11,039","11,040","11,495"
June 30,"10,428","11,644","11,658"
September 30,"10,311","12,202","11,769"
December 31,"9,848","11,622","10,343"
Average total equity,"10,407","11,627","$ 11,316"
(3) Calculation of average debt,,,
Ending short-term and long-term debt as of:,,,
March 31,"15,660","11,711",$
June 30,"14,519","11,301",
September 30,"14,846","11,663","11,749"
December 31,"14,622","13,949","12,361"
,,,"11,650 11,725"
Average short-term and long-term debt,"14,912","12,156",
,,,$
