Name of Company,Organized Under Law of,Registrant — 3M Company,Delaware
Consolidated subsidiaries of the Registrant:,Delaware,3M Financial Management Company,
Consolidated subsidiaries of the Registrant:,Delaware,3M Global Channel Services, Inc.
Consolidated subsidiaries of the Registrant:,Delaware,3M Innovative Properties Company,
Consolidated subsidiaries of the Registrant:,Delaware,3M Occupational Safety LLC,
Consolidated subsidiaries of the Registrant:,Delaware,3M Purification Inc.,
Consolidated subsidiaries of the Registrant:,Delaware,Aearo Holding LLC,
Consolidated subsidiaries of the Registrant:,Delaware,Aearo Intermediate LLC,
Consolidated subsidiaries of the Registrant:,Delaware,Aearo LLC,
Consolidated subsidiaries of the Registrant:,Delaware,Aearo Technologies LLC,
Consolidated subsidiaries of the Registrant:,Delaware,Capital Safety North America Holdings Inc.,
Consolidated subsidiaries of the Registrant:,Delaware,Capital Safety North America Intermediate Holdings LLC,
Consolidated subsidiaries of the Registrant:,Delaware,Ceradyne, Inc.
Consolidated subsidiaries of the Registrant:,Delaware,Scott Technologies, Inc.
Consolidated subsidiaries of the Registrant:,California,3M Unitek Corporation,
Consolidated subsidiaries of the Registrant:,California,Meguiar's, Inc.
Consolidated subsidiaries of the Registrant:,Maryland,3M Health Information Systems, Inc.
Consolidated subsidiaries of the Registrant:,Minnesota,D B Industries, LLC
Consolidated subsidiaries of the Registrant:,Australia,3M Australia Pty. Ltd.,
Consolidated subsidiaries of the Registrant:,Austria,3M Precision Grinding GmbH,
Consolidated subsidiaries of the Registrant:,Belgium,3M Belgium bvba/sprl,
Consolidated subsidiaries of the Registrant:,Brazil,3M do Brasil Ltd.,
Consolidated subsidiaries of the Registrant:,Brazil,3M Manaus Industria de Produtos Quimicos Ltda.,
Consolidated subsidiaries of the Registrant:,Canada,3M Canada Company - Compagnie 3M Canada,
Consolidated subsidiaries of the Registrant:,Canada,Capital Safety Group Canada ULC,
Consolidated subsidiaries of the Registrant:,China,3M China Limited,
Consolidated subsidiaries of the Registrant:,China,3M International Trading (Shanghai) Co., Ltd.
Consolidated subsidiaries of the Registrant:,China,3M Investments (China) Co., Ltd.
Consolidated subsidiaries of the Registrant:,China,3M Material Technology (Suzhou) Co., Ltd.
Consolidated subsidiaries of the Registrant:,China,3M Specialty Materials (Shanghai) Co., Ltd.
Consolidated subsidiaries of the Registrant:,England,3M Asia Pacific UK Holding Ltd,
Consolidated subsidiaries of the Registrant:,England,Capital Safety Global Holdings Limited,
Consolidated subsidiaries of the Registrant:,England,3M Products Limited,
Consolidated subsidiaries of the Registrant:,England,Capital Safety UK Holding Ltd,
Consolidated subsidiaries of the Registrant:,France,3M Purification,
Consolidated subsidiaries of the Registrant:,France,3M France S.A.S.,
Consolidated subsidiaries of the Registrant:,France,Capital Safety Group EMEA,
Consolidated subsidiaries of the Registrant:,France,Oldham S.A.S.,
Consolidated subsidiaries of the Registrant:,Germany,3M Deutschland GmbH,
Consolidated subsidiaries of the Registrant:,Germany,3M Real Estate GmbH & Co KG,
Consolidated subsidiaries of the Registrant:,Germany,Dyneon GmbH,
Consolidated subsidiaries of the Registrant:,Hong Kong,3M Hong Kong Limited,
Consolidated subsidiaries of the Registrant:,India,3M India Limited,
Consolidated subsidiaries of the Registrant:,Italy,3M ITALIA s.r.l.,
Consolidated subsidiaries of the Registrant:,Japan,3M Japan Limited,
Consolidated subsidiaries of the Registrant:,Japan,3M Japan Holdings G.K.,
