Cash flow hedging instruments gains (losses),Foreign currency forward/option contracts,Interest rate swap contracts,Tax effect,Net of tax
Details about Accumulated Other Comprehensive Income Components (Millions),,,,
Amounts Reclassified from Accumulated Other Comprehensive Income Year ended December 31,Location on Income Statement,,,
2018 2017 2016,,,,
Gains (losses) associated with defined benefit pension and postretirement plans amortization,,,,
Transition asset $  $  $  1 See Note 13,,,,
Prior service benefit 76 89 92 See Note 13,,,,
Net actuarial loss (678) (570) (506) See Note 13,,,,
Contingent (Settlement)  (4)  (2)  (9) See Note 13,,,,
Transition asset,,,,
Prior service benefit    76    89    92,,,,
Net actuarial loss        (678)   (570)   (506),,,,
Curtailments/Settlements  (4)    (2)    (8),,,,
Total before tax          (606)   (483)   (421),,,,
Tax effect                145     116     148,,,,
Net of tax                (461)   (367)   (273),,,,
Cash flow hedging instruments gains (losses),,,,
Foreign currency forward/option contracts  (95)    8    110,,,,
Interest rate swap contracts    (1)    (1)    (1),,,,
Total                      (96)    7     109,,,,
Cost of sales,$,(95),$,"8,$,110"
Interest expense,$,(1),$,"(1),$,(1)"
Total before tax,$,(96),$,"7,$,109"
Tax effect,$,19,$,"(3),$,(39)"
Provision for income taxes,$,(77),$,"4,$,70"
"Total reclassifications for the period, net of tax",$,(538),$,"(363),$,(203)"
