(Millions),Scott,Scott,Scott,Scott,Finite-Lived Intangible-Asset Weighted-Average
Asset (Liability),Safety,,,Total,Lives (Years)
Accounts receivable,,100 $,,100,
Inventory,,79,,79,
Other current assets,,10,,10 74,
"Property, plant, and equipment",,74,,,
Purchased finite-lived intangible assets:,,,,,
Customer related intangible assets,,439,3,442,15
Other technology-based intangible assets,,125,2,127,10
Definite-lived tradenames,,285,,285 1,17
Other amortizable intangible assets,,,1,,5
Purchased goodwill,,"1,296",6,"1,302",
Accounts payable and other liabilities,,(100),,(100) (297),
Deferred tax asset/(liability),,(297),,,
Net assets acquired,,"2,011 $",12$,"2,023",
Supplemental information:,,,12$,"2,032",
Cash paid,,2.020 $,,,
Less: Cash acquired,,9,,,"9 2,023"
"Cash paid, net of cash acquired",,"2,011",12,,
