Asset Class,Level 1,Level 2,Level 3,"Fair Value at Dec. 31,"
Equities,U.S. equities,"$ 1,369","$ 1,568","$ 1,369,$ 1,568"
Equities,Non-U.S. equities,"1,234","1,527","1,234,1,527"
Equities,Index and long/short equity funds*,372,422,"372,422"
Equities,Total Equities,"$ 2,603","$ 3,095","$ 2,975,$ 3,517"
Fixed Income,U.S. government securities,"$ 1,889","$ 2,666","$ 732,$ 484,$ 2,621,$ 3,150"
Fixed Income,Non-U.S. government securities,44,168,"44,168,44,168"
Fixed Income,Preferred and convertible securities,4,44,"2,44,4,6"
Fixed Income,U.S. corporate bonds,9,10,"2,941,2,904,2,950,2,914"
Fixed Income,Non-U.S. corporate bonds,475,614,"475,614,475,614"
Fixed Income,Derivative instruments,2,111,"110,113,2,110"
Fixed Income,Total Fixed Income,"$ 1,900","$ 2,680","$ 4,347,$ 4,282,$ 6,256,$ 6,970"
Private Equity,Derivative instruments,$ ,$ ,"$,$,$,$"
Private Equity,Growth equity,45,34,"$,$,(7),$"
Private Equity,Partnership investments*,$ ,$ ,"$,$,2,064,$ 2,062"
Private Equity,Total Private Equity,$ 45,$ 34,"$,$,(7),$ 2,109,$ 2,089"
Absolute Return,Fixed income and other,$ 28,$ 31,"$ 114,$ 102,$,$ 142,$ 133"
Absolute Return,Hedge fund/fund of funds*,$ ,$ ,"$,$,$,1,866,$ 1,871"
Absolute Return,Partnership investments*,$ ,$ ,"$,$,$,429,$ 335"
Absolute Return,Total Absolute Return,$ 28,$ 31,"$ 114,$ 102,$,$ 2,437,$ 2,339"
Cash and Cash Equivalents,Cash and cash equivalents,$ 412,$ 109,"$ 4,$ 14,$,$ 1,$ 416,$ 124"
Cash and Cash Equivalents,Repurchase agreements and derivative margin activity,$ ,$ ,"(1),$ (502),$,$ (1),$,$ (502)"
Cash and Cash Equivalents,"Cash and cash equivalents, valued at net asset value*",$ ,$ ,"$,$,$,$ 870,$ 1,402"
Cash and Cash Equivalents,Total Cash and Cash Equivalents,$ 412,$ 109,"$ 3,$ (488),$,$ 1,$ 1,285,$ 1,024"
Total,"$ 4,988","$ 5,949","$ 4,464","$ 3,896,$ (6),$ 15,062,$ 15,939"
Other items to reconcile to fair value of plan assets,$ (259),$ (253),,
Fair value of plan assets,"$ 14,803","$ 15,686",,
