(Millions),Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,,Fair Value at,Fair Value at,Fair Value at,
(Millions),,Level1,,,Level2,,Level 3,,,,"Dec. 31,",
Asset Class,2018,,2017,2018,,2017,2018,2017,,2018,,2017
Equities,,,,,$,,,,,,$,
U.S. equities,$ 465,356,$,$,,,$,$,,$,356 58,465
Non-U.S. equities,,58,,71,,,,,,,,71
Index and long/short equity funds*,,,,,,,,,,,34,45
Total Equities,$,414,$,536 $,$,,$,$,,$,448 $,581
Fixed Income,,,,,,,,,,,,
U.S. government securities,$,112,$ 136,$,213 $,205,$,$,,$ 325,$,341
Non-U.S. government securities,,,,,4,9,,,,,4,9
U.S. corporate bonds,,,,,162,159,,,,162,,159
Non-U.S. corporate bonds,,,,,32,35,,,,32,,35
Derivative instruments,,,,,5,4,,,,,5,4
Total Fixed Income,$,112,$ 136,$,416 $,412,$,$,,s 528,$,548
Private Equity,,,,,,,,,,,,
Growth equity,$,2,$,2 $,$,,$,$,,$,2 $,2
Partnership investments*,,,,,,,,,,101,,109
Total Private Equity,$,2,$,2 $,$,,$,$,,s 103,$,111
Absolute Return,,,,,,,,,,,,
Fixed income and other,$,1,$,1 $,5,4,$,$,,$,6 $,5
Hedge fund/fund of funds*,,,,,,,,,,80,,76
Partnership investments*,,,,,,,,,,18,,14
Total Absolute Return,$,1,$,$,5 $,4,$,$,,$ 104,$,95
Cash and Cash Equivalents,,,,,,,,,,,,
Cash and cash equivalents,$,47,$ 34,$,5 $,,$,$,,$ 52,$,35
Repurchase agreements and derivative margin activity,,,,,,(20),,,,,,(20)
"Cash and cash equivalents, valued at net asset value*",,,,,,,,,,,37,57
Total Cash and Cash Equivalents,$,47,$ 34 $ 709,$,5 $,(19),$,$,,$ $,89 $,72
Total,$,576,,$,426 $,397,$,$,,"1,272 $ (12)",$,"1,407"
Other items to reconcile to fair value of plan assets Fair value of plan assets,,,,,,,,,,"$ 1,260",$ $,"(10) 1,397"
