Qualified and Non-qualified,,
Pension Benefits,,
Postretirement,,
Benefits,,
(Millions),,
United States International 2018 2017 2018 2017,2018,2017
Amounts recognized in the Consolidated Balance Sheet as of Dec.,,"31,"
Non-current assets $ — $ 4 $ 208 $ 233 $ — $,,—
Accrued benefit cost,,
Current liabilities (60) (53) (13) (12),(3),(4)
"Non-current liabilities (1,085) (1,625) (990) (986)",(912),"(1,009)"
"Ending balance $ (1,145) $ (1,674) $ (795) $ (765) $ (915) $",,"(1,013)"
Amounts recognized in accumulated other comprehensive income as of Dec.,,"31,"
"Net actuarial loss (gain) $ 5,374 $ 5,921 $ 1,713 $ 1,720 $ 584 $",,774
Prior service cost (credit) (152) (175) (20) (40),(123),(163)
"Ending balance $ 5,222 $ 5,746 $ 1,693 $ 1,680 $ 461 $",,611
