Statutory U.S. tax rate,2018,2017,2016
State income taxes - net of federal benefit,1.0,0.8,0.9
International income taxes - net,0.2,-6.3,-2.7
Global Intangible Low Taxed Income (GILTI),1.1,—,—
Foreign Derived Intangible Income (FDII),-1.3,—,—
U.S. TCJA enactment - net impacts,2.5,10.1,—
U.S. research and development credit,-1.5,-0.7,-0.5
Reserves for tax contingencies,1.2,2.2,0.2
Domestic Manufacturer’s deduction,—,-1.8,-1.8
Employee share-based payments,-1.4,-3.2,-2.8
All other - net,0.6,-0.6,—
Effective worldwide tax rate,23.4 %,35.5 %,28.3 %
