Name ofCompany,OrganizedUnderLaw of
Registrant-3MCompany,Delaware
Consolidated subsidiariesof theRegistrant:,
3MFinancial Management Company,Delaware
"3M Global Channel Services, Inc.",Delaware
3M Innovative Properties Company,Delaware
3M Occupational Safety LLC,Delaware
3M Purification Inc.,Delaware
Aearo Holding LLC,Delaware
Aearo Intermediate LLC,Delaware
Aearo LLC,Delaware
Aearo Technologies LLC,Delaware
Capital Safety North America Holdings Inc.,Delaware
Capital Safety North America Intermediate Holdings LLC,Delaware
"Ceradyne, Inc. Scott Technologies, Inc.",Delaware
3MUnitek Corporation,Delaware
"Meguiar's, Inc.",California
"3MHealth Information Systems,Inc.",California
"D B Industries, LC",Maryland
3M Australia Pty. Ltd.,Minnesota
3M Precision Grinding GmbH,Australia Austria
3MBelgium bvba/sprl,
3M do Brasil Ltda.,Belgium
3MManaus Industria de Produtos Quimicos Ltda.,Brazil
3M Canada Company - Compagnie 3M Canada,Brazil
Capital SafetyGroup CanadaULC,Canada
3M China Limited,Canada China
"3M International Trading (Shanghai) Co., Ltd.",China
"3M Investments (China) Co.,Ltd",China
"3M Material Technology (Suzhou) Co., Ltd.",
"3MSpecialtyMaterials (Shanghai) Co.,Ltd.",China
3MAsia Pacific UKHoldingLtd,China
Capital Safety Global Holdings Limited,England
3MProducts Limited,England England
Capital Safety UK Holding Ltd,England
3MPurification,France
3M France S.A.S.,
Capital Safety Group EMEA,France
Oldham S.A.S.,France
3MDeutschland GmbH,France
3MReal Estate GmbH& Co KG,Germany
Dyneon GmbH,Germany Germany
3M Hong Kong Limited,Hong Kong
3MIndia Limited 3M ITALIA s.r.1.,India
3M Japan Limited,Italy Japan
3M Japan Holdings G.K.,Japan
