(Millions),Cumulative Translation Adjustment $,Pension and Postretirement Plans Adjustment $,"Cash Flow Hedging Instruments, Unrealized Gain (Loss)",Total Accumulated Other Comprehensive Income (Loss)
"Balance at December 31, 2015, net of tax:","(1,679)",(4.804),124,(6.359)
"Other comprehensive income (loss), before tax:",,,,
Amounts before reclassifications,(244),"(1,122)",57,"(1,309)"
Amounts reclassified out,,421,(109),312
"Total other comprehensive income (loss), before tax",(244),(701),(52),(997)
Tax effect,（85）,177,19,111
"Total other comprehensive income (los), netof tax",(329),(524),(33）,(886)
"Balance at December 31, 2016, net of tax:",(2.008),"(5,328)",,(7.245)
"Other comprehensive income (loss),before tax:",91,,,
Amounts before reclassifications,,(600),(311),(820)
Amounts reclassified out,,483,(7),476
"Total other comprehensive income (loss), bfore tax",91,(117),(318),(344)
Tax effect,279,169,115,563
"Total other comprehensive income (loss), net of tax",370,52,(203),219
"Balance at December 31, 2017, net of tax:","(1,638)","(5,276)",(112),(7.026)
"Other comprehensive income (loss), before tax:",,,,
Amounts before reclassifications,(414),55,133,(226)
Amounts reclassified out,,606,96,702
"Total other comprehensive income (loss), before tax",(414),661,229,476
"Tax effect Total other comprehensive income (loss), net of tax",（47) (461),(217),(53) 176,(317)
Transfer of ownership involving non-wholly owned subsidiaries,,444,,159
"Balance at December 31, 2018, net of tax:","1 (2,098)","(4,832)",64,"1 (6,866)"
