Description,(Millions),"Fair Value at December 31, 2018",Level 1,Level 2,Level 3
Assets:,,,,,
Available-for-sale:,,,,,
Marketable securities:,,,,,
Commercial paper,$ 366$,366,,366,
Certificates of deposit/time deposits,10,10,10,,
Asset-backed securities:,,,,,
Automobile loan related,1,1,,1,
U.S. municipal securities,40,,,,40
Derivative instruments — assets:,,,,,
Foreign currency forward/option contracts,127,127,,,127
Interest rate swap contracts,19,19,,19,
Liabilities:,,,,,
Derivative instruments — liabilities:,,,,,
Foreign currency forward/option contracts,22,22,,,22
Interest rate swap contracts,31,31,,,
