"Marketable securities -- certain U.S. municipal securities only,2018",,2017,2016
Beginning balance,$ 30,$ 20,$ 12
Total gains or losses:,,,
Included in earnings,---,---,---
Included in other comprehensive income,---,---,---
Purchases and issuances,13,13,12
Sales and settlements,(3),(3),(4)
Transfers in and/or out of level 3,---,---,---
Ending balance,40,30,20
Change in unrealized gains or losses for the period included in earnings for securities held at the end of the reporting period,,,
