Plan Category (options and shares in thousands),"A. Number of securities to be issued upon exercise of outstanding options, warrants and rights","B. Weighted-average exercise price of outstanding options, warrants and rights",C. Number of securities remaining available for future issuance under equity compensation plans (excluding securities reflected in column (A))
"Equity compensation plans approved by security holders,Stock options","34,569",$ 138.98,
,Restricted stock units,"1,789",
,,"—,—",
,Performance shares,562,
,,"—,—",
,Non-employee director deferred stock units,235,
,,"—,—",
,Total,"37,155","26,340"
Employee stock purchase plan,,,"25,306"
Subtotal,"37,155","51,646",
Total,"37,155","51,646",
