Millions,"December 31, 2018","December 31, 2017","December 31, 2018","December 31, 2017"
Corporate debt securities,$,$,,
Commercial paper,366,899,366,899
Certificates of deposit/time deposits,10,76,10,76
U.S. municipal securities,3,3,3,3
Asset-backed securities:,,,Automobile loan related,Credit card related
Asset-backed securities total,1,84,1,84
Current marketable securities,$,$ 380,,
U.S. municipal securities,$ 37,$ 27,$ 37,$ 27
Non-current marketable securities,$ 37,$ 27,$ 37,$ 27
Total marketable securities,$,$ 417,,
