Percent of net sales,"Three months ended December 31, 2018","Year ended December 31, 2018","Year ended December 31, 2017"
Same period last year,22.4%,24.3%,23.3%
"Increase/(decrease) in operating income margin, due to:",,,
2017 divestiture of identity management business,,(1.3),1.3
Organic volume/productivity and other,1.0,0.9,0.3
Acquisitions/other divestiture gains,,(0.1),0.1
Selling price and raw material impact,0.2,0.1,0.4
Foreign exchange impacts,0.1,(0.2),(0.5)
Legal-related charges,,(0.2),","
"2018 divestiture of Communication Markets Division, net of related restructuring actions",,1.2,","
"Current period, excluding MN Natural Resource Damages (NRD) resolution",22.4%,24.7%,24.3%
MN NRD resolution,,(2.7),","
Current period,22.4%,22.0%,24.3%
