"Years ended December 31,2018",2018,,
Return on Invested Capital (non-GAAP measure),,,","
Net income including non-controlling interest,"$ 5,363","5,363","4,869"
Interest expense (after-tax) (1),$ 268,268,208
Adjusted net income (Return),"$ 5,631","5,631","5,077"
Average shareholders' equity (including non-controlling interest) (2),"$ 10,407","10,407","11,627"
Average short-term and long-term debt (3),"$ 14,912","14,912","12,156"
Average invested capital,"$ 25,318",,
Return on invested capital (non-GAAP measure),22.2 %,,21.3 %
(1) Effective income tax rate used for interest expense,23.4 %,,35.5 %
(2) Calculation of average equity (includes non-controlling interest),,,","
Ending total equity as of:,,,
March 31,"$ 11,039","11,039","11,040"
June 30,"$ 10,428","10,428","11,644"
September 30,"$ 10,311","10,311","12,202"
December 31,"$ 9,848","9,848","11,622"
Average total equity,"$ 10,407",,
(3) Calculation of average debt,,,","
Ending short-term and long-term debt as of:,,,
March 31,"$ 15,660","15,660","11,711"
June 30,"$ 14,519","14,519","11,301"
September 30,"$ 14,846","14,846","11,663"
December 31,"$ 14,622","14,622","13,949"
Average short-term and long-term debt,"$ 14,912",,
