Description (Millions),Fair Value at,FairValueMeasurements Using Inputs Considered as,FairValueMeasurements Using Inputs Considered as,FairValueMeasurements Using Inputs Considered as,FairValueMeasurements Using Inputs Considered as
Description (Millions),Fair Value at,"December 31,2018",Level1,Level2,Level3
Assets:,,,,,
Available-for-sale:,,,,,
Marketable securities:,,,,,
Commercial paper,,366$,,366$,
Certificates of deposit/time deposits,,10,,10,
Asset-backed securities:,,,,,
Automobile loan related,,,,,
U.S. municipal securities,,40,,,40
Derivative instruments - assets:,,,,,
Foreign currency forward/option contracts,127,,,127,
Interest rate swap contracts,19,,,19,
Liabilities:,,,,,
Derivative instruments—liabilities:,,,,,
Foreign currency forward/option contracts,22,,,22,
Interest rate swap contracts,31,,,31,
Description (Millions),"Fair Value at December 31,2017",FairValue Measurements Using Inputs Considered as,FairValue Measurements Using Inputs Considered as,FairValue Measurements Using Inputs Considered as,FairValue Measurements Using Inputs Considered as
Description (Millions),"Fair Value at December 31,2017",,Level1,Level2,Level3
Assets:,,,,,
Available-for-sale:,,,,,
Marketable securities:,,,,,
Corporate debt securities,,14$,,14$,
Commercial paper,899,,,899,
Certificates of deposit/time deposits,,76,,76,
Asset-backed securities:,,,,,
Automobile loan related,,16,,16,
Credit card related,,68,,68,
U.S. municipal securities,,30,,,30
Derivative instruments - assets:,,,,,
Foreign currency forward/option contracts,,57,,57,
Interest rate swap contracts,,21,,21,
Liabilities:,,,,,
Derivative instruments—liabilities:,190,,,190,
Foreign currency forward/option contracts,,,,7,
Interest rate swap contracts,,7,,,
