"Year ended December 31,2018",Gain (Loss) on Derivative Recognized in Income,Gain (Loss) on Derivative Recognized in Income,Gain (Loss) on Hedged Item Recognized in Income,Gain (Loss) on Hedged Item Recognized in Income
"Year ended December 31,2018",Location,Amount,Location,Amount
(Millions) Interest rate swap contracts,Interest expense $,(5),Interest expense,$ 5
Total,$,5,$,5
"Year ended December 31,2017",,,,
"Year ended December 31,2017",Location,Amount,Location,Amount
(Millions) Interest rate swap contracts Total,Interest expense $ $,9),Interest expense,$ 9 $
"Year ended December 31,2016",,③,,9
"Year ended December 31,2016",,,,
"Year ended December 31,2016",Location,Amount,Location,Amount
(Millions) Interest rate swap contracts,Interest expense $,(②),Interest expense,$ 2
Total,$,2,$,2
