Years ended December 31,2018,2017,2016
Major GAAP Cash Flow Categories,,,
Net cash provided by operating activities,$,"6,439","$,6,240,$,6,662"
Net cash provided by (used in) investing activities,222,"(3,086)","(1,403)"
Net cash used in financing activities,"(6,701)","(2,655)","(4,626)"
Free Cash Flow (non-GAAP measure),,,
Net cash provided by operating activities,$,"6,439","$,6,240,$,6,662"
"Purchases of property, plant and equipment (PP&E)","(1,577)","(1,373)","(1,420)"
Free cash flow,$,"4,862","$,4,867,$,5,242"
Net income attributable to 3M,$,"5,349","$,4,858,$,5,050"
Free cash flow conversion,91 %,100 %,104 %
