(Millions),QualifiedandNon-qualified Pension Benefits,QualifiedandNon-qualified Pension Benefits,QualifiedandNon-qualified Pension Benefits,QualifiedandNon-qualified Pension Benefits,QualifiedandNon-qualified Pension Benefits,QualifiedandNon-qualified Pension Benefits,Postretirement Benefits,Postretirement Benefits,Postretirement Benefits
(Millions),United States,United States,United States,International,International,International,Postretirement Benefits,Postretirement Benefits,Postretirement Benefits
(Millions),2018,2017,2016,2018,2017,2016,,2018,2016
Net periodic benefit cost (benefit),,,,,,,,2017,
Operating expense,,,,,,,,,
Service cost,288,$ 268,$ 259,$ 143,$ 142,$ 133,,$ 52 $ 52 $ 54,
Non-operating expense,,,,,,,,,
Interest cost,563,565,575,157,157,171,79,80,79
Expected return on plan assets,"(1,087)","(1,035)","(1,043)",(307),(292),(309),(84),(86),(90)
Amortization of transition asset,,,,,,(),,,一
Amortization of prior service benefit,(23),(23),(24),(13),(13),(13),(40),(53),(55)
Amortization of net actuarial loss,503,388,354,114,126,91,61,56,61
"Settements,curtailments,special termination benefits and",,2,,,,,,,
other Total non-operating expense (benefit),(44),(103),4 (134),4 (45),4,4,,(4),（5)
Total net periodic benefit cost (benefit),244,165,125,$ 98,(18) $124,(57) 76,16 68,) 45,$49
Other changes in plan assets and benefit obligations recognized in other comprehensive (income) loss,,,,,,,,,
Amortization of transition asset,,,,,,1,,,
Prior service cost (benefit),,,5,7,6,(5),,,
Amortization of prior service benefit,23,23,24,13,13,13,40,(1) 53,55
Net actuarial (gain) loss,(44),605,692,190,(248),512,(127),69,8
Amortization of net actuarial loss,(503),(388),(354),(114),(126),(91),(61),(56),(61)
Foreign currency,,,,(83),167,(93),(2),,
Total recognized in other comprehensive (income) loss,(524),s 240,367,$ 13,$ (188),$ 337,$ (150),$ 65,$2
Totalrecognized innetperiodic benefitcost (benefit)and other comprehensive (income) loss,(280),405,$ 492,$ 111,$ (64),$ 413,$ (82),$ 110,$ 51
