(Millions),Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,"Fair Value at Dec.31,","Fair Value at Dec.31,"
(Millions),,Level1,,Level 2,,Level3,,"Fair Value at Dec.31,","Fair Value at Dec.31,"
Asset Class,2018,2017,2018,,2017,2018,2017,2018,2017
Equities,,,,,$,$,,,
U.S. equities,"$ 1,369","$1,568",$,$,,,,"1,369","$ 1,568"
Non-U.S.equities,"1,234","1,527",,,,,,"1,234","1,527"
Index and long/short equity funds*,,,,,,,,372,422
Total Equities,$ 2.603,"$ 3,095",$,$,,,,"2,975",$ 3.517
Fixed Income,,,,,,,,,
U.S. government securities,"$ 1,889","$ 2,666",$,732 $,484,,,"$ 2,621","$ 3,150"
Non-U.S. government securities,,4,,44,168,,,44,168
Preferred and convertible securities,,,,44,2,,,44,6
U.S.corporate bonds,9,10,"2,941",,2.904,,,"2,950","2,914"
Non-U.S. corporate bonds,,,,475,614,,,475,614
Derivative instruments,2,,,111,110,,,113,110
Other*,,,,,,,,9,8
Total Fixed Income,"$1,900",$2.680,"$4,347",,"$4,282",,,"$6,256",6.970
Private Equity,,,,,,,,,
Derivative instruments,$,$,$,$,,,(7)$,,(7)
Growth equity,45,34,,,,,,45,34
Partnership investments*,,,,,,,,"2,064",2.062
Total Private Equity,,$45$34$,,$,,,,"$ (7)$ 2,109",2.089
Absolute Return,,,,,,,,,$
Fixed income and other,,$28 $ 31 $ 114 $ 102$,,,,,丨 $,142,$ 133
Hedge fund/fund of funds*,,,,,,,,"1,866","1,871"
Partnership investments*,,,,,,,,429,335
Total Absolute Return,,$28$31$114$102$,,,,$,,$2.437,2.339
Cash and Cash Equivalents,,,,,,$,,,
Cash and cash equivalents,$ 412,109,,4,14 $,,1,416,$ 124
"Repurchase agreements and derivative margin activity Cash and cash equivalents, valued at net asset value*",,,,(1),(502),,,(1),(502)
,,,,,,$,,870,"1,402"
Total Cash and Cash Equivalents,$ 412,$ 109,$,3 $,(488),,1,"1,285","$ 1,024"
Total,"$4,988","$5,949",$4464,,$3.896,,6),"15,062","$ 15,939"
Other items to reconcile to fair value of plan assets Fair value of plan assets,,,,,,,,(259),$ (253)
