(Dollars in millions),"Three months ended December 31, 2018",% of Total,Oper. Income,"Three months ended December 31, 2017",% of Total,Oper. Income,2018 vs 2017 % change,Net Sales,Oper. Income
Business Segments,Net Sales,% of Total,Oper. Income,Net Sales,% of Total,Oper. Income,Net Sales,Oper. Income,
Industrial,"$ 2,952",37.2 %,$ 627,"$ 2,961",37.1 %,$ 580,(0.3)%,8.1 %,
Safety and Graphics,"1,569",19.8,345,"1,565",19.6,405,0.3,(14.8),
Health Care,"1,520",19.1,458,"1,484",18.6,460,2.4,(0.2),
Electronics and Energy,"1,342",16.9,396,"1,405",17.6,366,(4.5),8.2,
Consumer,"1,211",15.2,257,"1,210",15.1,272,0.1,(5.2),
Corporate and Unallocated,3,0.0,(136),(3),—,(139),—,—,
Elimination of Dual Credit,(652),(8.2),(164),(632),(8.0),(155),—,—,
Total Company,"$ 7,945",100.0 %,"$ 1,783","$ 7,990",100.0 %,"$ 1,789",(0.6)%,(0.3)%,
