Millions,"December 31, 2018","December 31, 2017","December 31, 2018","December 31, 2017"
Corporate debt securities,$,$,14,14
Commercial paper,366,899,366,899
Certificates of deposit/time deposits,10,76,10,76
U.S. municipal securities,3,3,3,3
Asset-backed securities:,Automobile loan related,Credit card related,1,"16,68,68"
Asset-backed securities total,1,84,1,84
Current marketable securities,$,$,380,"1,076"
U.S. municipal securities,$,$,37,27
Non-current marketable securities,$,$,37,27
Total marketable securities,$,$,417,"1,103"
